SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2013,2276813.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2019,1981926.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2016,2113043.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2015,1928318.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2017,2203886.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2020,1673062.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2018,1860705.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2010,2165672.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2011,2248207.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2012,2343216.0
dcs:who/MALARIA_PV_INDIG,dcid:Earth,2014,2159467.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2019,307911.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2020,200811.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2012,901331.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2010,1028605.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2011,895731.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2018,339537.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2015,566469.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2013,700872.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2014,583985.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2016,515827.0
dcs:who/MALARIA_PV_INDIG,dcid:SouthEasternAsia,2017,457240.0
dcs:who/MALARIA_PV_INDIG,dcid:africa,2013,965945.0
dcs:who/MALARIA_PV_INDIG,dcid:africa,2020,273590.0
