SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2017,442778961.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2018,435687025.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2008,230617673.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2007,235578035.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2016,448717969.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2006,226197340.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2013,355476014.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2003,217729102.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2019,480476873.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2004,216543914.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2009,256722328.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2014,390229606.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2020,421494283.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2012,318704423.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2002,189202076.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2001,183253819.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2011,292546750.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2005,225990201.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2000,156527300.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2015,412634318.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2010,279586532.0
dcs:who/MALARIA_SUSPECTS,dcid:Earth,2021,455092730.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2002,100584018.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2006,113394021.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2012,128575601.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2016,153471953.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2020,106471324.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2014,145647540.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2004,104435178.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2021,121644823.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2005,110679824.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2015,148935427.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2000,96532464.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2010,125956545.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2018,134143687.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2008,113347080.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2009,118792681.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2013,134891147.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2003,107117148.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2007,110679136.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2017,134738598.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2019,145063692.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2001,99658502.0
dcs:who/MALARIA_SUSPECTS,dcid:SouthEasternAsia,2011,125124926.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2007,80674299.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2012,148912774.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2009,97208229.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2019,298863373.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2017,273892215.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2002,49299926.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2013,183005703.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2003,72523987.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2011,123797109.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2001,45092472.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2016,260150689.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2020,282779798.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2006,74570241.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2005,77031818.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2014,211094143.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2004,76668012.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2018,264621825.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2000,34871427.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2021,301753684.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2015,226839519.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2008,77076016.0
dcs:who/MALARIA_SUSPECTS,dcid:africa,2010,111665881.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2010,865181.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2018,1240523.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2021,917108.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2009,853894.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2019,1008487.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2006,789186.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2014,881515.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2004,280301.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2008,935043.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2016,1055368.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2011,936252.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2007,873937.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2013,817606.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2017,1143511.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2020,943267.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2000,257429.0
dcs:who/MALARIA_SUSPECTS,dcid:country/AFG,2015,939964.0
