SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MCV2,dcid:Earth,2023,74.0
dcs:who/MCV2,dcid:Earth,2007,35.0
dcs:who/MCV2,dcid:Earth,2012,52.0
dcs:who/MCV2,dcid:Earth,2002,20.0
dcs:who/MCV2,dcid:Earth,2008,37.0
dcs:who/MCV2,dcid:Earth,2020,71.0
dcs:who/MCV2,dcid:Earth,2013,56.0
dcs:who/MCV2,dcid:Earth,2011,48.0
dcs:who/MCV2,dcid:Earth,2017,68.0
dcs:who/MCV2,dcid:Earth,2018,70.0
dcs:who/MCV2,dcid:Earth,2015,63.0
dcs:who/MCV2,dcid:Earth,2001,19.0
dcs:who/MCV2,dcid:Earth,2022,73.0
dcs:who/MCV2,dcid:Earth,2014,59.0
dcs:who/MCV2,dcid:Earth,2003,20.0
dcs:who/MCV2,dcid:Earth,2004,22.0
dcs:who/MCV2,dcid:Earth,2009,40.0
dcs:who/MCV2,dcid:Earth,2016,67.0
dcs:who/MCV2,dcid:Earth,2019,71.0
dcs:who/MCV2,dcid:Earth,2005,32.0
dcs:who/MCV2,dcid:Earth,2010,41.0
dcs:who/MCV2,dcid:Earth,2021,71.0
dcs:who/MCV2,dcid:Earth,2000,17.0
dcs:who/MCV2,dcid:Earth,2006,34.0
dcs:who/MCV2,dcid:SouthEasternAsia,2000,3.0
dcs:who/MCV2,dcid:SouthEasternAsia,2013,58.0
dcs:who/MCV2,dcid:SouthEasternAsia,2015,66.0
dcs:who/MCV2,dcid:SouthEasternAsia,2021,79.0
dcs:who/MCV2,dcid:SouthEasternAsia,2002,3.0
dcs:who/MCV2,dcid:SouthEasternAsia,2016,75.0
dcs:who/MCV2,dcid:SouthEasternAsia,2007,12.0
dcs:who/MCV2,dcid:SouthEasternAsia,2017,79.0
dcs:who/MCV2,dcid:SouthEasternAsia,2001,3.0
dcs:who/MCV2,dcid:SouthEasternAsia,2018,81.0
dcs:who/MCV2,dcid:SouthEasternAsia,2010,15.0
dcs:who/MCV2,dcid:SouthEasternAsia,2022,86.0
dcs:who/MCV2,dcid:SouthEasternAsia,2011,34.0
dcs:who/MCV2,dcid:SouthEasternAsia,2003,6.0
dcs:who/MCV2,dcid:SouthEasternAsia,2008,13.0
dcs:who/MCV2,dcid:SouthEasternAsia,2005,6.0
dcs:who/MCV2,dcid:SouthEasternAsia,2014,59.0
dcs:who/MCV2,dcid:SouthEasternAsia,2020,80.0
dcs:who/MCV2,dcid:SouthEasternAsia,2012,44.0
dcs:who/MCV2,dcid:SouthEasternAsia,2009,14.0
dcs:who/MCV2,dcid:SouthEasternAsia,2023,85.0
dcs:who/MCV2,dcid:SouthEasternAsia,2004,7.0
dcs:who/MCV2,dcid:SouthEasternAsia,2006,9.0
dcs:who/MCV2,dcid:SouthEasternAsia,2019,83.0
dcs:who/MCV2,dcid:africa,2022,44.0
dcs:who/MCV2,dcid:africa,2017,24.0
dcs:who/MCV2,dcid:africa,2014,10.0
dcs:who/MCV2,dcid:africa,2016,22.0
dcs:who/MCV2,dcid:africa,2008,4.0
dcs:who/MCV2,dcid:africa,2020,39.0
dcs:who/MCV2,dcid:africa,2000,5.0
dcs:who/MCV2,dcid:africa,2002,5.0
dcs:who/MCV2,dcid:africa,2019,33.0
dcs:who/MCV2,dcid:africa,2006,4.0
dcs:who/MCV2,dcid:africa,2009,5.0
dcs:who/MCV2,dcid:africa,2004,4.0
dcs:who/MCV2,dcid:africa,2013,7.0
dcs:who/MCV2,dcid:africa,2001,5.0
dcs:who/MCV2,dcid:africa,2005,4.0
dcs:who/MCV2,dcid:africa,2015,17.0
dcs:who/MCV2,dcid:africa,2021,40.0
dcs:who/MCV2,dcid:africa,2011,4.0
dcs:who/MCV2,dcid:africa,2007,4.0
dcs:who/MCV2,dcid:africa,2023,49.0
dcs:who/MCV2,dcid:africa,2018,25.0
dcs:who/MCV2,dcid:africa,2012,6.0
dcs:who/MCV2,dcid:africa,2010,4.0
dcs:who/MCV2,dcid:africa,2003,5.0
dcs:who/MCV2,dcid:country/AFG,2005,9.0
dcs:who/MCV2,dcid:country/AFG,2011,31.0
dcs:who/MCV2,dcid:country/AFG,2021,37.0
dcs:who/MCV2,dcid:country/AFG,2023,42.0
dcs:who/MCV2,dcid:country/AFG,2022,42.0
dcs:who/MCV2,dcid:country/AFG,2020,38.0
dcs:who/MCV2,dcid:country/AFG,2008,23.0
dcs:who/MCV2,dcid:country/AFG,2012,33.0
dcs:who/MCV2,dcid:country/AFG,2004,2.0
dcs:who/MCV2,dcid:country/AFG,2017,38.0
dcs:who/MCV2,dcid:country/AFG,2007,4.0
dcs:who/MCV2,dcid:country/AFG,2019,37.0
dcs:who/MCV2,dcid:country/AFG,2016,40.0
dcs:who/MCV2,dcid:country/AFG,2015,42.0
dcs:who/MCV2,dcid:country/AFG,2013,38.0
dcs:who/MCV2,dcid:country/AFG,2018,46.0
dcs:who/MCV2,dcid:country/AFG,2006,18.0
dcs:who/MCV2,dcid:country/AFG,2010,29.0
dcs:who/MCV2,dcid:country/AFG,2009,24.0
dcs:who/MCV2,dcid:country/AFG,2014,44.0
dcs:who/MCV2,dcid:country/AGO,2017,18.0
dcs:who/MCV2,dcid:country/AGO,2020,29.0
dcs:who/MCV2,dcid:country/AGO,2022,25.0
dcs:who/MCV2,dcid:country/AGO,2019,33.0
dcs:who/MCV2,dcid:country/AGO,2018,23.0
dcs:who/MCV2,dcid:country/AGO,2016,16.0
