SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MENING_2,dcid:country/BEN,2014,711.0
dcs:who/MENING_2,dcid:country/BEN,2013,833.0
dcs:who/MENING_2,dcid:country/BEN,2012,1165.0
dcs:who/MENING_2,dcid:country/BEN,2011,269.0
dcs:who/MENING_2,dcid:country/BEN,2010,323.0
dcs:who/MENING_2,dcid:country/BEN,2009,416.0
dcs:who/MENING_2,dcid:country/BFA,2014,3476.0
dcs:who/MENING_2,dcid:country/BFA,2013,2917.0
dcs:who/MENING_2,dcid:country/BFA,2012,6957.0
dcs:who/MENING_2,dcid:country/BFA,2011,3875.0
dcs:who/MENING_2,dcid:country/BFA,2010,6732.0
dcs:who/MENING_2,dcid:country/BFA,2009,4723.0
dcs:who/MENING_2,dcid:country/CAF,2014,169.0
dcs:who/MENING_2,dcid:country/CAF,2013,210.0
dcs:who/MENING_2,dcid:country/CAF,2012,266.0
dcs:who/MENING_2,dcid:country/CAF,2011,361.0
dcs:who/MENING_2,dcid:country/CAF,2010,477.0
dcs:who/MENING_2,dcid:country/CAF,2009,289.0
dcs:who/MENING_2,dcid:country/CIV,2014,196.0
dcs:who/MENING_2,dcid:country/CIV,2013,255.0
dcs:who/MENING_2,dcid:country/CIV,2012,500.0
dcs:who/MENING_2,dcid:country/CIV,2011,141.0
dcs:who/MENING_2,dcid:country/CIV,2010,146.0
dcs:who/MENING_2,dcid:country/CIV,2009,284.0
dcs:who/MENING_2,dcid:country/CMR,2014,1156.0
dcs:who/MENING_2,dcid:country/CMR,2013,1010.0
dcs:who/MENING_2,dcid:country/CMR,2012,542.0
dcs:who/MENING_2,dcid:country/CMR,2011,2548.0
dcs:who/MENING_2,dcid:country/CMR,2010,835.0
dcs:who/MENING_2,dcid:country/CMR,2009,1001.0
dcs:who/MENING_2,dcid:country/COD,2014,10109.0
dcs:who/MENING_2,dcid:country/COD,2013,9339.0
dcs:who/MENING_2,dcid:country/COD,2012,10141.0
dcs:who/MENING_2,dcid:country/COD,2011,5176.0
dcs:who/MENING_2,dcid:country/COD,2010,8276.0
dcs:who/MENING_2,dcid:country/COD,2009,4842.0
dcs:who/MENING_2,dcid:country/ETH,2014,1744.0
dcs:who/MENING_2,dcid:country/ETH,2012,150.0
dcs:who/MENING_2,dcid:country/ETH,2011,229.0
dcs:who/MENING_2,dcid:country/ETH,2009,114.0
dcs:who/MENING_2,dcid:country/GHA,2014,448.0
dcs:who/MENING_2,dcid:country/GHA,2013,454.0
dcs:who/MENING_2,dcid:country/GHA,2012,739.0
dcs:who/MENING_2,dcid:country/GHA,2011,773.0
dcs:who/MENING_2,dcid:country/GHA,2010,1164.0
dcs:who/MENING_2,dcid:country/GHA,2009,302.0
dcs:who/MENING_2,dcid:country/GIN,2014,582.0
dcs:who/MENING_2,dcid:country/GIN,2013,480.0
dcs:who/MENING_2,dcid:country/GIN,2012,196.0
dcs:who/MENING_2,dcid:country/GIN,2010,84.0
dcs:who/MENING_2,dcid:country/GIN,2009,81.0
dcs:who/MENING_2,dcid:country/GMB,2014,214.0
dcs:who/MENING_2,dcid:country/GMB,2013,248.0
dcs:who/MENING_2,dcid:country/GMB,2012,200.0
dcs:who/MENING_2,dcid:country/MLI,2014,327.0
dcs:who/MENING_2,dcid:country/MLI,2013,358.0
dcs:who/MENING_2,dcid:country/MLI,2012,688.0
dcs:who/MENING_2,dcid:country/MLI,2011,430.0
dcs:who/MENING_2,dcid:country/MLI,2010,482.0
dcs:who/MENING_2,dcid:country/MLI,2009,335.0
dcs:who/MENING_2,dcid:country/MRT,2014,1.0
dcs:who/MENING_2,dcid:country/MRT,2013,14.0
dcs:who/MENING_2,dcid:country/MRT,2012,41.0
dcs:who/MENING_2,dcid:country/NER,2014,327.0
dcs:who/MENING_2,dcid:country/NER,2013,311.0
dcs:who/MENING_2,dcid:country/NER,2012,314.0
dcs:who/MENING_2,dcid:country/NER,2011,1214.0
dcs:who/MENING_2,dcid:country/NER,2010,2908.0
dcs:who/MENING_2,dcid:country/NER,2009,13449.0
dcs:who/MENING_2,dcid:country/NGA,2014,1175.0
dcs:who/MENING_2,dcid:country/NGA,2013,871.0
dcs:who/MENING_2,dcid:country/NGA,2012,1206.0
dcs:who/MENING_2,dcid:country/NGA,2011,1165.0
dcs:who/MENING_2,dcid:country/NGA,2010,4983.0
dcs:who/MENING_2,dcid:country/NGA,2009,56128.0
dcs:who/MENING_2,dcid:country/SDN,2014,207.0
dcs:who/MENING_2,dcid:country/SDN,2013,1110.0
dcs:who/MENING_2,dcid:country/SDN,2012,524.0
dcs:who/MENING_2,dcid:country/SDN,2010,2240.0
dcs:who/MENING_2,dcid:country/SEN,2014,102.0
dcs:who/MENING_2,dcid:country/SEN,2013,379.0
dcs:who/MENING_2,dcid:country/SEN,2012,894.0
dcs:who/MENING_2,dcid:country/SSD,2014,111.0
dcs:who/MENING_2,dcid:country/SSD,2013,259.0
dcs:who/MENING_2,dcid:country/TCD,2014,235.0
dcs:who/MENING_2,dcid:country/TCD,2013,371.0
dcs:who/MENING_2,dcid:country/TCD,2012,3874.0
dcs:who/MENING_2,dcid:country/TCD,2011,5960.0
dcs:who/MENING_2,dcid:country/TCD,2010,3228.0
dcs:who/MENING_2,dcid:country/TCD,2009,1460.0
dcs:who/MENING_2,dcid:country/TGO,2014,351.0
dcs:who/MENING_2,dcid:country/TGO,2013,266.0
dcs:who/MENING_2,dcid:country/TGO,2012,408.0
dcs:who/MENING_2,dcid:country/TGO,2011,440.0
dcs:who/MENING_2,dcid:country/TGO,2010,460.0
dcs:who/MENING_2,dcid:country/TGO,2009,350.0
