SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH6,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH3,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2016,0.95895
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH6,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2016,3.72275
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH2,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH3,dcid:AustraliaAndNewZealand,2016,0.62025
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH2,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH2,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2016,0.0459
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH3,dcid:AustraliaAndNewZealand,2016,1.50545
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2016,7.52622
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH6,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2016,0.0
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2016,1.05771
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2016,2.26202
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH7,dcid:AustraliaAndNewZealand,2015,0.91154
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2015,3.67116
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH16,dcid:AustraliaAndNewZealand,2016,33.90228
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH5,dcid:AustraliaAndNewZealand,2015,0.0
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH12,dcid:AustraliaAndNewZealand,2016,2.89371
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH13,dcid:AustraliaAndNewZealand,2016,11.01151
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH9,dcid:AustraliaAndNewZealand,2015,0.93447
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH8,dcid:AustraliaAndNewZealand,2015,0.0
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH16,dcid:AustraliaAndNewZealand,2016,14.42569
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH10,dcid:AustraliaAndNewZealand,2016,22.78845
dcs:who/MORT_300.AGE--M1T59__CHILDCAUSE--CH11,dcid:AustraliaAndNewZealand,2016,1.55792
dcs:who/MORT_300.AGE--D0T27__CHILDCAUSE--CH15,dcid:AustraliaAndNewZealand,2016,29.85767
dcs:who/MORT_300.AGE--Y0T4__CHILDCAUSE--CH15,dcid:AustraliaAndNewZealand,2016,26.87971
