SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2007,8.0
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2020,5.3
dcs:who/M_Est_smk_curr_std,dcid:Earth,2000,27.1
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2000,43.8
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2021,28.8
dcs:who/M_Est_smk_curr_std,dcid:Earth,2005,23.9
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2005,39.2
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2005,8.6
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2000,10.4
dcs:who/M_Est_smk_curr_std,dcid:Earth,2018,18.0
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2018,30.4
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2021,5.2
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2020,29.4
dcs:who/M_Est_smk_curr_std,dcid:Earth,2021,17.0
dcs:who/M_Est_smk_curr_std,dcid:Earth,2010,21.3
dcs:who/M_Est_smk_curr_std,dcid:Earth,2015,19.2
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2015,6.2
dcs:who/M_Est_smk_curr_std,dcid:Earth,2020,17.4
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2010,7.3
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2007,37.6
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2022,28.4
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2022,5.1
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2015,32.1
dcs:who/M_Est_smk_curr_std,dcid:Earth,2022,16.7
dcs:who/M_Est_smk_curr_std,dcid:Earth,2007,22.8
dcs:who/M_Est_smk_curr_std.SEX--F,dcid:Earth,2018,5.7
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:Earth,2010,35.4
dcs:who/M_Est_smk_curr_std,dcid:SouthEasternAsia,2007,21.7
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:SouthEasternAsia,2007,38.6
dcs:who/M_Est_smk_curr_std.SEX--M,dcid:SouthEasternAsia,2010,34.7
