SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2015,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2017,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2000,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2013,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2016,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2009,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2005,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2012,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2018,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2002,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2014,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2010,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2004,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2001,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2011,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2007,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2003,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1999,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1998,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2008,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,2006,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1981,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1982,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1997,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1986,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1989,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1983,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1996,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1993,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1994,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1985,1.2
dcs:who/NCD_CHOL_MEANHDL_C,dcid:Earth,1980,1.2
