SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2017,39500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2016,38700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2004,32900000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2005,33300000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2015,17700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2019,21800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2001,31700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2006,17800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2001,15000000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2016,20700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2015,37900000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2013,17100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2002,32500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2005,17700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2004,17400000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2010,35200000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2001,16700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2003,33000000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2002,17100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2006,33500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2018,40300000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2014,17300000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2016,18000000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2007,34000000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2019,40800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2007,15900000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2014,20000000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2012,19500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2008,18500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2008,34600000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2004,15500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2017,18400000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2010,18800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2002,15400000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2003,15600000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2010,16300000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2000,16400000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2011,16600000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2013,36900000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2005,15600000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2012,16900000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2009,16100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2019,19000000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2018,18800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2000,31200000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2011,19100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2008,16100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2011,35700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2009,34700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2018,21500000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2012,36400000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2013,19800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2003,17400000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:Earth,2014,37300000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2017,21100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2006,15700000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2009,18600000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2015,20200000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:Earth,2007,18100000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:Earth,2000,14800000.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2003,3509390.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2010,4062941.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2012,7632930.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2005,2973245.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2011,3306845.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2007,3880443.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2002,2945192.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2017,8596459.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2004,6353108.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2003,6441201.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2015,8168790.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2012,3396956.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2014,3614738.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2008,4026153.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2005,3561842.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2003,2931811.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2011,7460291.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2018,4819146.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2017,3929679.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2012,4235974.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2002,6416470.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2001,2870597.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2008,3235397.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2017,4666781.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2009,4030459.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2018,8872187.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2015,4432056.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2007,3177275.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2005,6535086.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2013,7865621.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2014,4388383.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2016,3835381.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2010,3208051.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2011,4153446.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2006,3725805.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2004,2888426.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2019,4148320.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2019,4924622.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2000,6108766.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2006,3092892.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2004,3464683.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2013,3520120.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2013,4345500.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2016,8383908.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2016,4548528.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2009,3184796.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2006,6818696.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2000,3323707.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2002,3471278.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2008,7261550.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2000,2785059.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2019,9072941.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2009,7215255.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2014,8003121.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2007,7057718.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2001,6269385.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:SouthEasternAsia,2001,3398788.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2018,4053041.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:SouthEasternAsia,2010,7270992.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:SouthEasternAsia,2015,3736734.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2017,2802703.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2013,1257841.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2006,1188938.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2004,1063243.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2001,1010078.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2002,1127739.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2000,994023.9
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2019,1476953.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2004,2210484.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2010,2459416.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2014,2639272.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2002,1031572.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2014,1281821.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2015,2680350.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2016,1337884.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2008,1238478.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2007,1212076.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2019,1412992.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2006,2297149.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2011,2509262.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2002,2159311.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2000,1106816.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2007,2344037.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2015,1304205.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2004,1147241.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2013,1341327.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2003,1136702.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2003,2183446.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2013,2599168.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2008,1156977.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2010,1190712.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2011,1295208.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2019,2889945.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--M,dcid:africa,2018,1460612.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060__SEX--F,dcid:africa,2012,1234849.0
dcs:who/NCD_DTH_TOT.GHECAUSES--GHE060,dcid:africa,2001,2125986.0
