SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1997,2779.55674
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2009,3845.15024
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2012,4228.11287
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2014,4510.72848
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1996,2710.01096
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1994,2578.48053
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2021,5550.12068
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2013,4367.48533
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2017,4948.31997
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1998,2849.41802
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2001,3070.32808
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2019,5254.33729
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2000,2993.57917
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1993,2517.20409
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1999,2920.07928
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2018,5106.95779
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2011,4099.32262
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1992,2455.48051
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2010,3963.93689
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2007,3616.97272
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2005,3413.99765
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2015,4654.09975
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2008,3724.37979
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2004,3317.02439
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2020,5405.12463
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2016,4802.36291
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,1995,2645.43854
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2006,3508.29689
dcs:who/PHE_HHAIR_POP_CLEAN_FUELS,dcid:Earth,2003,3231.38804
