SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2017,33.89714
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2011,41.28482
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2012,40.1652
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2020,30.07591
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2019,31.31035
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2015,36.41449
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2021,28.93302
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2018,32.51877
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2016,35.12876
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2014,37.6576
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2013,38.92453
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,66.55671
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1994,77.54988
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2021,49.01989
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2014,16.16322
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,68.00747
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1999,76.18541
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2002,49.57539
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2005,73.75776
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1996,53.09039
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2001,50.20946
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2004,74.38197
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2010,42.52977
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2016,59.51784
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2007,45.58282
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2008,44.65813
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1997,76.77747
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2006,46.55671
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2019,53.21047
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2016,15.24835
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2019,14.08914
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2013,16.66829
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,51.09606
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1993,77.75052
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1996,77.0374
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1999,51.4207
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2003,48.89815
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2018,14.40835
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2012,17.26206
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2015,15.70176
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1994,54.09387
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,1990,78.16959
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1997,52.53173
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2009,19.10817
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--URB,dcid:Earth,2010,18.46972
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1998,51.97675
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,2004,48.19489
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1991,55.43606
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1995,53.5684
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2018,55.42116
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2001,75.50749
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2015,61.42283
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS,dcid:Earth,1992,54.96186
dcs:who/PHE_HHAIR_PROP_POP_POLLUTING_FUELS.RESIDENCEAREATYPE--RUR,dcid:Earth,2002,75.18553
