SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_new_oth,dcid:country/AFG,2011,623.0
dcs:who/TB_new_oth,dcid:country/AFG,2012,702.0
dcs:who/TB_new_oth,dcid:country/AFG,2010,633.0
dcs:who/TB_new_oth,dcid:country/AFG,2007,0.0
dcs:who/TB_new_oth,dcid:country/AFG,2008,0.0
dcs:who/TB_new_oth,dcid:country/AGO,2008,0.0
dcs:who/TB_new_oth,dcid:country/AGO,2006,0.0
dcs:who/TB_new_oth,dcid:country/AGO,2012,0.0
dcs:who/TB_new_oth,dcid:country/AGO,2004,0.0
dcs:who/TB_new_oth,dcid:country/AGO,2011,0.0
dcs:who/TB_new_oth,dcid:country/AGO,2009,0.0
dcs:who/TB_new_oth,dcid:country/ALB,2011,0.0
dcs:who/TB_new_oth,dcid:country/ALB,2012,0.0
dcs:who/TB_new_oth,dcid:country/ALB,2010,0.0
dcs:who/TB_new_oth,dcid:country/ALB,2008,0.0
dcs:who/TB_new_oth,dcid:country/AND,2010,0.0
dcs:who/TB_new_oth,dcid:country/AND,2011,0.0
dcs:who/TB_new_oth,dcid:country/AND,2008,0.0
dcs:who/TB_new_oth,dcid:country/AND,2009,0.0
dcs:who/TB_new_oth,dcid:country/AND,2012,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2007,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2010,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2006,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2009,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2008,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2011,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2005,0.0
dcs:who/TB_new_oth,dcid:country/ARE,2012,0.0
dcs:who/TB_new_oth,dcid:country/ARG,2010,159.0
dcs:who/TB_new_oth,dcid:country/ARG,2012,143.0
dcs:who/TB_new_oth,dcid:country/ARG,2006,585.0
dcs:who/TB_new_oth,dcid:country/ARG,2008,24.0
dcs:who/TB_new_oth,dcid:country/ARG,2004,230.0
dcs:who/TB_new_oth,dcid:country/ARG,2007,61.0
dcs:who/TB_new_oth,dcid:country/ARG,2011,138.0
dcs:who/TB_new_oth,dcid:country/ARG,2005,0.0
dcs:who/TB_new_oth,dcid:country/ARG,2009,217.0
dcs:who/TB_new_oth,dcid:country/ARM,2011,0.0
dcs:who/TB_new_oth,dcid:country/ARM,2012,0.0
dcs:who/TB_new_oth,dcid:country/ARM,2008,0.0
dcs:who/TB_new_oth,dcid:country/ARM,2009,0.0
dcs:who/TB_new_oth,dcid:country/ARM,2010,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2012,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2007,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2009,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2011,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2010,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2005,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2006,0.0
dcs:who/TB_new_oth,dcid:country/ATG,2008,0.0
dcs:who/TB_new_oth,dcid:country/AUS,2006,2.0
dcs:who/TB_new_oth,dcid:country/AUS,2008,1.0
dcs:who/TB_new_oth,dcid:country/AUS,2011,2.0
dcs:who/TB_new_oth,dcid:country/AUS,2009,7.0
dcs:who/TB_new_oth,dcid:country/AUS,2012,63.0
dcs:who/TB_new_oth,dcid:country/AUS,2007,0.0
dcs:who/TB_new_oth,dcid:country/AUS,2010,5.0
dcs:who/TB_new_oth,dcid:country/AUT,2012,0.0
dcs:who/TB_new_oth,dcid:country/AUT,2009,45.0
dcs:who/TB_new_oth,dcid:country/AUT,2011,0.0
dcs:who/TB_new_oth,dcid:country/AUT,2010,0.0
dcs:who/TB_new_oth,dcid:country/AZE,2011,0.0
dcs:who/TB_new_oth,dcid:country/AZE,2010,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2010,8.0
dcs:who/TB_new_oth,dcid:country/BDI,2011,5.0
dcs:who/TB_new_oth,dcid:country/BDI,2012,3.0
dcs:who/TB_new_oth,dcid:country/BDI,2006,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2008,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2003,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2009,24.0
dcs:who/TB_new_oth,dcid:country/BDI,2007,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2000,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2005,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2004,0.0
dcs:who/TB_new_oth,dcid:country/BDI,1998,0.0
dcs:who/TB_new_oth,dcid:country/BDI,1999,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2002,0.0
dcs:who/TB_new_oth,dcid:country/BDI,2001,0.0
dcs:who/TB_new_oth,dcid:country/BEL,2008,0.0
dcs:who/TB_new_oth,dcid:country/BEL,2009,125.0
dcs:who/TB_new_oth,dcid:country/BEL,2010,0.0
dcs:who/TB_new_oth,dcid:country/BEL,2012,0.0
dcs:who/TB_new_oth,dcid:country/BEL,2011,0.0
dcs:who/TB_new_oth,dcid:country/BEN,2007,0.0
dcs:who/TB_new_oth,dcid:country/BEN,2009,0.0
dcs:who/TB_new_oth,dcid:country/BEN,2011,0.0
dcs:who/TB_new_oth,dcid:country/BEN,2008,0.0
dcs:who/TB_new_oth,dcid:country/BEN,2010,0.0
dcs:who/TB_new_oth,dcid:country/BEN,2012,0.0
dcs:who/TB_new_oth,dcid:country/BFA,2010,77.0
dcs:who/TB_new_oth,dcid:country/BFA,2009,92.0
dcs:who/TB_new_oth,dcid:country/BFA,2012,154.0
dcs:who/TB_new_oth,dcid:country/BFA,2006,53.0
dcs:who/TB_new_oth,dcid:country/BFA,2011,175.0
dcs:who/TB_new_oth,dcid:country/BFA,2007,68.0
dcs:who/TB_new_oth,dcid:country/BFA,2005,90.0
dcs:who/TB_new_oth,dcid:country/BFA,2008,68.0
dcs:who/TB_new_oth,dcid:country/BGD,2007,0.0
dcs:who/TB_new_oth,dcid:country/BGD,2008,0.0
dcs:who/TB_new_oth,dcid:country/BGD,2010,0.0
dcs:who/TB_new_oth,dcid:country/BGD,2011,0.0
dcs:who/TB_new_oth,dcid:country/BGD,2012,0.0
dcs:who/TB_new_oth,dcid:country/BGD,2006,0.0
dcs:who/TB_new_oth,dcid:country/BGR,2012,1.0
dcs:who/TB_new_oth,dcid:country/BGR,2010,0.0
dcs:who/TB_new_oth,dcid:country/BGR,2011,0.0
dcs:who/TB_new_oth,dcid:country/BGR,2008,10.0
dcs:who/TB_new_oth,dcid:country/BGR,2009,297.0
dcs:who/TB_new_oth,dcid:country/BHR,2008,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2012,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2004,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2011,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2007,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2006,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2010,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2005,0.0
dcs:who/TB_new_oth,dcid:country/BHR,2009,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2012,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2005,1.0
dcs:who/TB_new_oth,dcid:country/BHS,2007,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2011,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2006,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2009,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2008,0.0
dcs:who/TB_new_oth,dcid:country/BHS,2010,1.0
dcs:who/TB_new_oth,dcid:country/BIH,2008,0.0
dcs:who/TB_new_oth,dcid:country/BIH,2009,0.0
dcs:who/TB_new_oth,dcid:country/BIH,2011,0.0
dcs:who/TB_new_oth,dcid:country/BIH,2012,2.0
dcs:who/TB_new_oth,dcid:country/BIH,2010,158.0
dcs:who/TB_new_oth,dcid:country/BLR,2010,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2004,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2007,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2012,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2011,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2010,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2006,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2005,0.0
dcs:who/TB_new_oth,dcid:country/BLZ,2009,0.0
dcs:who/TB_new_oth,dcid:country/BOL,2012,0.0
dcs:who/TB_new_oth,dcid:country/BOL,2004,0.0
dcs:who/TB_new_oth,dcid:country/BOL,2010,0.0
dcs:who/TB_new_oth,dcid:country/BRA,2012,11.0
dcs:who/TB_new_oth,dcid:country/BRA,2008,10.0
dcs:who/TB_new_oth,dcid:country/BRA,2006,0.0
dcs:who/TB_new_oth,dcid:country/BRA,2009,14.0
dcs:who/TB_new_oth,dcid:country/BRA,2007,0.0
dcs:who/TB_new_oth,dcid:country/BRA,2011,15.0
dcs:who/TB_new_oth,dcid:country/BRA,2010,18.0
dcs:who/TB_new_oth,dcid:country/BRB,2010,0.0
dcs:who/TB_new_oth,dcid:country/BRB,2009,0.0
dcs:who/TB_new_oth,dcid:country/BRB,2011,0.0
dcs:who/TB_new_oth,dcid:country/BRB,2008,0.0
dcs:who/TB_new_oth,dcid:country/BRB,2007,0.0
dcs:who/TB_new_oth,dcid:country/BRB,2006,0.0
dcs:who/TB_new_oth,dcid:country/BRB,2012,0.0
dcs:who/TB_new_oth,dcid:country/BRN,2011,13.0
dcs:who/TB_new_oth,dcid:country/BRN,2012,0.0
dcs:who/TB_new_oth,dcid:country/BRN,2010,13.0
dcs:who/TB_new_oth,dcid:country/BRN,2008,8.0
dcs:who/TB_new_oth,dcid:country/BRN,2009,6.0
dcs:who/TB_new_oth,dcid:country/BRN,2007,0.0
dcs:who/TB_new_oth,dcid:country/BRN,2006,12.0
dcs:who/TB_new_oth,dcid:country/BTN,2011,0.0
dcs:who/TB_new_oth,dcid:country/BTN,2010,0.0
dcs:who/TB_new_oth,dcid:country/BTN,2008,0.0
dcs:who/TB_new_oth,dcid:country/BTN,2009,0.0
dcs:who/TB_new_oth,dcid:country/BTN,2006,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2011,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2010,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2008,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2012,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2007,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2009,0.0
dcs:who/TB_new_oth,dcid:country/BWA,2006,0.0
dcs:who/TB_new_oth,dcid:country/CAF,2011,60.0
dcs:who/TB_new_oth,dcid:country/CAF,2010,24.0
dcs:who/TB_new_oth,dcid:country/CAF,2004,0.0
dcs:who/TB_new_oth,dcid:country/CAF,2008,0.0
dcs:who/TB_new_oth,dcid:country/CAF,2005,0.0
dcs:who/TB_new_oth,dcid:country/CAF,2006,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1996,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1994,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1995,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2011,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2002,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2012,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2005,4.0
dcs:who/TB_new_oth,dcid:country/CAN,2003,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2008,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2004,13.0
dcs:who/TB_new_oth,dcid:country/CAN,2001,11.0
dcs:who/TB_new_oth,dcid:country/CAN,1999,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2000,20.0
dcs:who/TB_new_oth,dcid:country/CAN,1998,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1997,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2009,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2007,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2006,0.0
dcs:who/TB_new_oth,dcid:country/CAN,2010,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1992,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1991,0.0
dcs:who/TB_new_oth,dcid:country/CAN,1990,0.0
dcs:who/TB_new_oth,dcid:country/CHL,2010,0.0
dcs:who/TB_new_oth,dcid:country/CHL,2006,0.0
dcs:who/TB_new_oth,dcid:country/CHL,2012,0.0
dcs:who/TB_new_oth,dcid:country/CHL,2011,0.0
dcs:who/TB_new_oth,dcid:country/CHL,2004,435.0
dcs:who/TB_new_oth,dcid:country/CHL,2007,0.0
dcs:who/TB_new_oth,dcid:country/CHL,2009,0.0
dcs:who/TB_new_oth,dcid:country/CHN,2010,0.0
dcs:who/TB_new_oth,dcid:country/CHN,2008,2863.0
dcs:who/TB_new_oth,dcid:country/CHN,2012,0.0
dcs:who/TB_new_oth,dcid:country/CHN,2007,0.0
dcs:who/TB_new_oth,dcid:country/CHN,2011,0.0
dcs:who/TB_new_oth,dcid:country/CHN,2009,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2011,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2003,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2004,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2012,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2000,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2002,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2001,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2005,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2006,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2007,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2008,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2009,0.0
dcs:who/TB_new_oth,dcid:country/CIV,2010,0.0
dcs:who/TB_new_oth,dcid:country/CMR,2007,0.0
dcs:who/TB_new_oth,dcid:country/CMR,2005,0.0
