SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_new_sn,dcid:country/AFG,1998,489.0
dcs:who/TB_new_sn,dcid:country/AFG,2004,5437.0
dcs:who/TB_new_sn,dcid:country/AFG,2012,4740.0
dcs:who/TB_new_sn,dcid:country/AFG,2001,2739.0
dcs:who/TB_new_sn,dcid:country/AFG,2008,7903.0
dcs:who/TB_new_sn,dcid:country/AFG,1999,729.0
dcs:who/TB_new_sn,dcid:country/AFG,2007,8251.0
dcs:who/TB_new_sn,dcid:country/AFG,2005,6085.0
dcs:who/TB_new_sn,dcid:country/AFG,2006,6809.0
dcs:who/TB_new_sn,dcid:country/AFG,2009,6108.0
dcs:who/TB_new_sn,dcid:country/AFG,2010,4479.0
dcs:who/TB_new_sn,dcid:country/AFG,2000,2358.0
dcs:who/TB_new_sn,dcid:country/AFG,2011,4166.0
dcs:who/TB_new_sn,dcid:country/AFG,1997,227.0
dcs:who/TB_new_sn,dcid:country/AFG,2002,3386.0
dcs:who/TB_new_sn,dcid:country/AFG,2003,3440.0
dcs:who/TB_new_sn,dcid:country/AGO,2012,21226.0
dcs:who/TB_new_sn,dcid:country/AGO,2000,5030.0
dcs:who/TB_new_sn,dcid:country/AGO,1998,4008.0
dcs:who/TB_new_sn,dcid:country/AGO,2011,18380.0
dcs:who/TB_new_sn,dcid:country/AGO,2001,5979.0
dcs:who/TB_new_sn,dcid:country/AGO,2004,10570.0
dcs:who/TB_new_sn,dcid:country/AGO,2008,16490.0
dcs:who/TB_new_sn,dcid:country/AGO,1996,5680.0
dcs:who/TB_new_sn,dcid:country/AGO,2005,12467.0
dcs:who/TB_new_sn,dcid:country/AGO,2010,17285.0
dcs:who/TB_new_sn,dcid:country/AGO,2006,11635.0
dcs:who/TB_new_sn,dcid:country/AGO,2009,13755.0
dcs:who/TB_new_sn,dcid:country/AGO,1999,4142.0
dcs:who/TB_new_sn,dcid:country/AGO,2007,14733.0
dcs:who/TB_new_sn,dcid:country/AGO,2002,7958.0
dcs:who/TB_new_sn,dcid:country/AGO,1997,4741.0
dcs:who/TB_new_sn,dcid:country/AGO,2003,12790.0
dcs:who/TB_new_sn,dcid:country/ALB,2004,120.0
dcs:who/TB_new_sn,dcid:country/ALB,2012,99.0
