SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_new_sp,dcid:Earth,2000,1541607.0
dcs:who/TB_new_sp,dcid:Earth,2003,1948393.0
dcs:who/TB_new_sp,dcid:Earth,2005,2413714.0
dcs:who/TB_new_sp,dcid:Earth,2001,1626028.0
dcs:who/TB_new_sp,dcid:Earth,2002,1725533.0
dcs:who/TB_new_sp,dcid:Earth,2008,2660117.0
dcs:who/TB_new_sp,dcid:Earth,2004,2223657.0
dcs:who/TB_new_sp,dcid:Earth,2009,2670217.0
dcs:who/TB_new_sp,dcid:Earth,2012,2569311.0
dcs:who/TB_new_sp,dcid:Earth,2007,2588480.0
dcs:who/TB_new_sp,dcid:Earth,2011,2632814.0
dcs:who/TB_new_sp,dcid:Earth,2010,2659355.0
dcs:who/TB_new_sp,dcid:Earth,2006,2537829.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2003,673171.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2004,779530.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2010,1047013.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2000,510053.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2008,1007382.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2007,972441.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2002,606730.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2001,561939.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2009,1028656.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2012,1065852.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2011,1067367.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2006,938637.0
dcs:who/TB_new_sp,dcid:SouthEasternAsia,2005,857371.0
dcs:who/TB_new_sp,dcid:africa,2004,551161.0
dcs:who/TB_new_sp,dcid:africa,2010,601149.0
dcs:who/TB_new_sp,dcid:africa,2007,566966.0
dcs:who/TB_new_sp,dcid:africa,2005,550004.0
dcs:who/TB_new_sp,dcid:africa,2009,607254.0
dcs:who/TB_new_sp,dcid:africa,2011,608882.0
dcs:who/TB_new_sp,dcid:africa,2002,460047.0
dcs:who/TB_new_sp,dcid:africa,2012,603934.0
dcs:who/TB_new_sp,dcid:africa,2008,595400.0
dcs:who/TB_new_sp,dcid:africa,2001,411233.0
dcs:who/TB_new_sp,dcid:africa,2003,512876.0
dcs:who/TB_new_sp,dcid:africa,2000,368750.0
dcs:who/TB_new_sp,dcid:africa,2006,561141.0
dcs:who/TB_new_sp,dcid:country/AFG,2007,13213.0
dcs:who/TB_new_sp,dcid:country/AFG,2011,13789.0
dcs:who/TB_new_sp,dcid:country/AFG,2010,12947.0
dcs:who/TB_new_sp,dcid:country/AFG,2008,13136.0
dcs:who/TB_new_sp,dcid:country/AFG,2009,12497.0
dcs:who/TB_new_sp,dcid:country/AFG,2006,12468.0
dcs:who/TB_new_sp,dcid:country/AFG,2005,9949.0
dcs:who/TB_new_sp,dcid:country/AFG,2012,13319.0
dcs:who/TB_new_sp,dcid:country/AFG,2004,8273.0
dcs:who/TB_new_sp,dcid:country/AFG,2001,4639.0
dcs:who/TB_new_sp,dcid:country/AFG,2002,6509.0
dcs:who/TB_new_sp,dcid:country/AFG,2000,2892.0
dcs:who/TB_new_sp,dcid:country/AFG,2003,6510.0
dcs:who/TB_new_sp,dcid:country/AGO,2001,11923.0
dcs:who/TB_new_sp,dcid:country/AGO,2007,21422.0
dcs:who/TB_new_sp,dcid:country/AGO,2011,21703.0
dcs:who/TB_new_sp,dcid:country/AGO,2000,9053.0
dcs:who/TB_new_sp,dcid:country/AGO,2002,18087.0
dcs:who/TB_new_sp,dcid:country/AGO,2010,21146.0
dcs:who/TB_new_sp,dcid:country/AGO,2008,22562.0
dcs:who/TB_new_sp,dcid:country/AGO,2004,20301.0
dcs:who/TB_new_sp,dcid:country/AGO,2012,21124.0
dcs:who/TB_new_sp,dcid:country/AGO,2009,22488.0
dcs:who/TB_new_sp,dcid:country/AGO,2006,21499.0
dcs:who/TB_new_sp,dcid:country/AGO,2003,18971.0
dcs:who/TB_new_sp,dcid:country/AGO,2005,20410.0
dcs:who/TB_new_sp,dcid:country/ALB,2002,225.0
dcs:who/TB_new_sp,dcid:country/ALB,2007,165.0
dcs:who/TB_new_sp,dcid:country/ALB,2000,171.0
dcs:who/TB_new_sp,dcid:country/ALB,2008,170.0
dcs:who/TB_new_sp,dcid:country/ALB,2006,186.0
dcs:who/TB_new_sp,dcid:country/ALB,2009,171.0
dcs:who/TB_new_sp,dcid:country/ALB,2010,145.0
dcs:who/TB_new_sp,dcid:country/ALB,2004,201.0
dcs:who/TB_new_sp,dcid:country/ALB,2012,185.0
dcs:who/TB_new_sp,dcid:country/ALB,2003,211.0
dcs:who/TB_new_sp,dcid:country/ALB,2011,180.0
dcs:who/TB_new_sp,dcid:country/ALB,2005,196.0
dcs:who/TB_new_sp,dcid:country/ALB,2001,171.0
dcs:who/TB_new_sp,dcid:country/AND,2007,2.0
dcs:who/TB_new_sp,dcid:country/AND,2005,5.0
dcs:who/TB_new_sp,dcid:country/AND,2006,8.0
dcs:who/TB_new_sp,dcid:country/AND,2002,2.0
dcs:who/TB_new_sp,dcid:country/AND,2000,1.0
dcs:who/TB_new_sp,dcid:country/AND,2011,1.0
dcs:who/TB_new_sp,dcid:country/AND,2001,3.0
dcs:who/TB_new_sp,dcid:country/AND,2004,3.0
dcs:who/TB_new_sp,dcid:country/AND,2003,7.0
dcs:who/TB_new_sp,dcid:country/AND,2009,2.0
dcs:who/TB_new_sp,dcid:country/AND,2010,0.0
dcs:who/TB_new_sp,dcid:country/AND,2012,2.0
dcs:who/TB_new_sp,dcid:country/AND,2008,3.0
dcs:who/TB_new_sp,dcid:country/ARE,2003,77.0
dcs:who/TB_new_sp,dcid:country/ARE,2008,50.0
dcs:who/TB_new_sp,dcid:country/ARE,2009,71.0
dcs:who/TB_new_sp,dcid:country/ARE,2004,57.0
dcs:who/TB_new_sp,dcid:country/ARE,2005,62.0
dcs:who/TB_new_sp,dcid:country/ARE,2001,69.0
dcs:who/TB_new_sp,dcid:country/ARE,2012,42.0
dcs:who/TB_new_sp,dcid:country/ARE,2006,52.0
dcs:who/TB_new_sp,dcid:country/ARE,2002,57.0
dcs:who/TB_new_sp,dcid:country/ARE,2011,46.0
dcs:who/TB_new_sp,dcid:country/ARE,2000,73.0
dcs:who/TB_new_sp,dcid:country/ARE,2007,56.0
dcs:who/TB_new_sp,dcid:country/ARE,2010,56.0
dcs:who/TB_new_sp,dcid:country/ARG,2008,4758.0
dcs:who/TB_new_sp,dcid:country/ARG,2007,4985.0
dcs:who/TB_new_sp,dcid:country/ARG,2011,5150.0
dcs:who/TB_new_sp,dcid:country/ARG,2004,4760.0
dcs:who/TB_new_sp,dcid:country/ARG,2009,4044.0
dcs:who/TB_new_sp,dcid:country/ARG,2012,4661.0
dcs:who/TB_new_sp,dcid:country/ARG,2010,3973.0
dcs:who/TB_new_sp,dcid:country/ARG,2006,4834.0
dcs:who/TB_new_sp,dcid:country/ARG,2005,4709.0
dcs:who/TB_new_sp,dcid:country/ARG,2001,5595.0
dcs:who/TB_new_sp,dcid:country/ARG,2003,4961.0
dcs:who/TB_new_sp,dcid:country/ARG,2002,5498.0
dcs:who/TB_new_sp,dcid:country/ARG,2000,4749.0
dcs:who/TB_new_sp,dcid:country/ARM,2000,621.0
dcs:who/TB_new_sp,dcid:country/ARM,2004,602.0
dcs:who/TB_new_sp,dcid:country/ARM,2009,440.0
dcs:who/TB_new_sp,dcid:country/ARM,2006,580.0
dcs:who/TB_new_sp,dcid:country/ARM,2007,497.0
dcs:who/TB_new_sp,dcid:country/ARM,2010,339.0
dcs:who/TB_new_sp,dcid:country/ARM,2001,572.0
dcs:who/TB_new_sp,dcid:country/ARM,2005,581.0
dcs:who/TB_new_sp,dcid:country/ARM,2002,511.0
dcs:who/TB_new_sp,dcid:country/ARM,2011,329.0
dcs:who/TB_new_sp,dcid:country/ARM,2003,575.0
dcs:who/TB_new_sp,dcid:country/ARM,2008,487.0
dcs:who/TB_new_sp,dcid:country/ARM,2012,315.0
dcs:who/TB_new_sp,dcid:country/ATG,2001,1.0
dcs:who/TB_new_sp,dcid:country/ATG,2006,4.0
dcs:who/TB_new_sp,dcid:country/ATG,2000,3.0
dcs:who/TB_new_sp,dcid:country/ATG,2005,6.0
dcs:who/TB_new_sp,dcid:country/ATG,2002,2.0
dcs:who/TB_new_sp,dcid:country/ATG,2011,6.0
dcs:who/TB_new_sp,dcid:country/ATG,2012,1.0
dcs:who/TB_new_sp,dcid:country/ATG,2007,2.0
dcs:who/TB_new_sp,dcid:country/ATG,2009,1.0
dcs:who/TB_new_sp,dcid:country/ATG,2010,6.0
dcs:who/TB_new_sp,dcid:country/ATG,2008,1.0
dcs:who/TB_new_sp,dcid:country/ATG,2003,1.0
dcs:who/TB_new_sp,dcid:country/AUS,2012,290.0
dcs:who/TB_new_sp,dcid:country/AUS,2010,274.0
dcs:who/TB_new_sp,dcid:country/AUS,2011,301.0
dcs:who/TB_new_sp,dcid:country/AUS,2009,267.0
dcs:who/TB_new_sp,dcid:country/AUS,2002,210.0
dcs:who/TB_new_sp,dcid:country/AUS,2007,281.0
dcs:who/TB_new_sp,dcid:country/AUS,2008,299.0
dcs:who/TB_new_sp,dcid:country/AUS,2001,228.0
dcs:who/TB_new_sp,dcid:country/AUS,2004,285.0
dcs:who/TB_new_sp,dcid:country/AUS,2000,251.0
dcs:who/TB_new_sp,dcid:country/AUS,2006,269.0
dcs:who/TB_new_sp,dcid:country/AUS,2005,241.0
dcs:who/TB_new_sp,dcid:country/AUS,2003,113.0
dcs:who/TB_new_sp,dcid:country/AUT,2000,324.0
dcs:who/TB_new_sp,dcid:country/AUT,2005,234.0
dcs:who/TB_new_sp,dcid:country/AUT,2004,216.0
dcs:who/TB_new_sp,dcid:country/AUT,2002,220.0
dcs:who/TB_new_sp,dcid:country/AUT,2003,269.0
dcs:who/TB_new_sp,dcid:country/AUT,2011,94.0
dcs:who/TB_new_sp,dcid:country/AUT,2010,76.0
dcs:who/TB_new_sp,dcid:country/AUT,2006,213.0
dcs:who/TB_new_sp,dcid:country/AUT,2009,89.0
dcs:who/TB_new_sp,dcid:country/AUT,2001,262.0
dcs:who/TB_new_sp,dcid:country/AUT,2007,189.0
dcs:who/TB_new_sp,dcid:country/AUT,2012,95.0
dcs:who/TB_new_sp,dcid:country/AZE,2003,1161.0
dcs:who/TB_new_sp,dcid:country/AZE,2012,1301.0
dcs:who/TB_new_sp,dcid:country/AZE,2000,890.0
dcs:who/TB_new_sp,dcid:country/AZE,2010,1997.0
dcs:who/TB_new_sp,dcid:country/AZE,2005,1561.0
dcs:who/TB_new_sp,dcid:country/AZE,2001,927.0
dcs:who/TB_new_sp,dcid:country/AZE,2007,1356.0
dcs:who/TB_new_sp,dcid:country/AZE,2004,1472.0
dcs:who/TB_new_sp,dcid:country/AZE,2006,1454.0
dcs:who/TB_new_sp,dcid:country/AZE,2008,1409.0
dcs:who/TB_new_sp,dcid:country/AZE,2011,1426.0
dcs:who/TB_new_sp,dcid:country/AZE,2002,1661.0
dcs:who/TB_new_sp,dcid:country/AZE,2009,1487.0
dcs:who/TB_new_sp,dcid:country/BDI,2008,3610.0
dcs:who/TB_new_sp,dcid:country/BDI,2011,4060.0
dcs:who/TB_new_sp,dcid:country/BDI,2007,3595.0
dcs:who/TB_new_sp,dcid:country/BDI,2001,3040.0
dcs:who/TB_new_sp,dcid:country/BDI,2003,3017.0
dcs:who/TB_new_sp,dcid:country/BDI,2012,4075.0
dcs:who/TB_new_sp,dcid:country/BDI,2010,4590.0
dcs:who/TB_new_sp,dcid:country/BDI,2006,3119.0
dcs:who/TB_new_sp,dcid:country/BDI,2005,3262.0
dcs:who/TB_new_sp,dcid:country/BDI,2002,2791.0
dcs:who/TB_new_sp,dcid:country/BDI,2004,3087.0
dcs:who/TB_new_sp,dcid:country/BDI,2000,3159.0
dcs:who/TB_new_sp,dcid:country/BDI,2009,3974.0
dcs:who/TB_new_sp,dcid:country/BEL,2001,472.0
dcs:who/TB_new_sp,dcid:country/BEL,2000,409.0
dcs:who/TB_new_sp,dcid:country/BEL,2003,362.0
dcs:who/TB_new_sp,dcid:country/BEL,2007,322.0
dcs:who/TB_new_sp,dcid:country/BEL,2005,380.0
dcs:who/TB_new_sp,dcid:country/BEL,2010,239.0
dcs:who/TB_new_sp,dcid:country/BEL,2009,280.0
dcs:who/TB_new_sp,dcid:country/BEL,2004,391.0
dcs:who/TB_new_sp,dcid:country/BEL,2002,419.0
dcs:who/TB_new_sp,dcid:country/BEL,2011,238.0
dcs:who/TB_new_sp,dcid:country/BEL,2012,235.0
dcs:who/TB_new_sp,dcid:country/BEL,2008,311.0
dcs:who/TB_new_sp,dcid:country/BEL,2006,343.0
dcs:who/TB_new_sp,dcid:country/BEN,2009,2960.0
dcs:who/TB_new_sp,dcid:country/BEN,2010,2973.0
dcs:who/TB_new_sp,dcid:country/BEN,2007,2770.0
dcs:who/TB_new_sp,dcid:country/BEN,2003,2446.0
dcs:who/TB_new_sp,dcid:country/BEN,2012,3171.0
dcs:who/TB_new_sp,dcid:country/BEN,2000,2277.0
dcs:who/TB_new_sp,dcid:country/BEN,2004,2582.0
dcs:who/TB_new_sp,dcid:country/BEN,2002,2424.0
dcs:who/TB_new_sp,dcid:country/BEN,2001,2294.0
dcs:who/TB_new_sp,dcid:country/BEN,2008,2966.0
dcs:who/TB_new_sp,dcid:country/BEN,2006,2943.0
dcs:who/TB_new_sp,dcid:country/BEN,2005,2739.0
dcs:who/TB_new_sp,dcid:country/BEN,2011,3331.0
dcs:who/TB_new_sp,dcid:country/BFA,2005,2290.0
dcs:who/TB_new_sp,dcid:country/BFA,2003,1703.0
dcs:who/TB_new_sp,dcid:country/BFA,2006,2660.0
dcs:who/TB_new_sp,dcid:country/BFA,2000,1545.0
dcs:who/TB_new_sp,dcid:country/BFA,2012,3583.0
dcs:who/TB_new_sp,dcid:country/BFA,2004,1924.0
dcs:who/TB_new_sp,dcid:country/BFA,2011,3450.0
dcs:who/TB_new_sp,dcid:country/BFA,2002,1544.0
dcs:who/TB_new_sp,dcid:country/BFA,2009,3061.0
dcs:who/TB_new_sp,dcid:country/BFA,2010,3041.0
dcs:who/TB_new_sp,dcid:country/BFA,2001,1522.0
dcs:who/TB_new_sp,dcid:country/BFA,2008,2757.0
dcs:who/TB_new_sp,dcid:country/BFA,2007,2605.0
dcs:who/TB_new_sp,dcid:country/BGD,2008,106373.0
dcs:who/TB_new_sp,dcid:country/BGD,2002,46811.0
dcs:who/TB_new_sp,dcid:country/BGD,2007,104296.0
dcs:who/TB_new_sp,dcid:country/BGD,2004,62694.0
dcs:who/TB_new_sp,dcid:country/BGD,2006,101967.0
dcs:who/TB_new_sp,dcid:country/BGD,2003,53618.0
dcs:who/TB_new_sp,dcid:country/BGD,2000,38484.0
dcs:who/TB_new_sp,dcid:country/BGD,2012,106790.0
dcs:who/TB_new_sp,dcid:country/BGD,2010,105772.0
dcs:who/TB_new_sp,dcid:country/BGD,2011,98948.0
dcs:who/TB_new_sp,dcid:country/BGD,2009,109402.0
dcs:who/TB_new_sp,dcid:country/BGD,2005,84848.0
dcs:who/TB_new_sp,dcid:country/BGD,2001,40777.0
dcs:who/TB_new_sp,dcid:country/BGR,2004,1315.0
dcs:who/TB_new_sp,dcid:country/BGR,2002,1007.0
dcs:who/TB_new_sp,dcid:country/BGR,2012,741.0
dcs:who/TB_new_sp,dcid:country/BGR,2010,806.0
dcs:who/TB_new_sp,dcid:country/BGR,2011,716.0
dcs:who/TB_new_sp,dcid:country/BGR,2008,1020.0
dcs:who/TB_new_sp,dcid:country/BGR,2006,1307.0
dcs:who/TB_new_sp,dcid:country/BGR,2007,1080.0
dcs:who/TB_new_sp,dcid:country/BGR,2001,897.0
dcs:who/TB_new_sp,dcid:country/BGR,2005,1214.0
dcs:who/TB_new_sp,dcid:country/BGR,2009,896.0
dcs:who/TB_new_sp,dcid:country/BGR,2000,2524.0
dcs:who/TB_new_sp,dcid:country/BGR,2003,1254.0
dcs:who/TB_new_sp,dcid:country/BHR,2005,101.0
dcs:who/TB_new_sp,dcid:country/BHR,2000,23.0
dcs:who/TB_new_sp,dcid:country/BHR,2001,23.0
dcs:who/TB_new_sp,dcid:country/BHR,2010,90.0
dcs:who/TB_new_sp,dcid:country/BHR,2008,141.0
dcs:who/TB_new_sp,dcid:country/BHR,2009,131.0
dcs:who/TB_new_sp,dcid:country/BHR,2002,17.0
dcs:who/TB_new_sp,dcid:country/BHR,2012,101.0
dcs:who/TB_new_sp,dcid:country/BHR,2007,109.0
dcs:who/TB_new_sp,dcid:country/BHR,2004,69.0
dcs:who/TB_new_sp,dcid:country/BHR,2006,98.0
dcs:who/TB_new_sp,dcid:country/BHR,2011,89.0
dcs:who/TB_new_sp,dcid:country/BHR,2003,16.0
dcs:who/TB_new_sp,dcid:country/BHS,2000,56.0
dcs:who/TB_new_sp,dcid:country/BHS,2002,32.0
dcs:who/TB_new_sp,dcid:country/BHS,2005,30.0
dcs:who/TB_new_sp,dcid:country/BHS,2012,21.0
dcs:who/TB_new_sp,dcid:country/BHS,2010,19.0
dcs:who/TB_new_sp,dcid:country/BHS,2006,42.0
dcs:who/TB_new_sp,dcid:country/BHS,2003,29.0
dcs:who/TB_new_sp,dcid:country/BHS,2009,26.0
dcs:who/TB_new_sp,dcid:country/BHS,2008,31.0
dcs:who/TB_new_sp,dcid:country/BHS,2007,32.0
dcs:who/TB_new_sp,dcid:country/BHS,2011,23.0
dcs:who/TB_new_sp,dcid:country/BHS,2004,37.0
dcs:who/TB_new_sp,dcid:country/BIH,2007,737.0
dcs:who/TB_new_sp,dcid:country/BIH,2003,493.0
dcs:who/TB_new_sp,dcid:country/BIH,2006,562.0
dcs:who/TB_new_sp,dcid:country/BIH,2012,569.0
dcs:who/TB_new_sp,dcid:country/BIH,2000,759.0
dcs:who/TB_new_sp,dcid:country/BIH,2004,889.0
dcs:who/TB_new_sp,dcid:country/BIH,2010,441.0
dcs:who/TB_new_sp,dcid:country/BIH,2009,609.0
dcs:who/TB_new_sp,dcid:country/BIH,2008,509.0
dcs:who/TB_new_sp,dcid:country/BIH,2005,640.0
dcs:who/TB_new_sp,dcid:country/BIH,2011,547.0
dcs:who/TB_new_sp,dcid:country/BIH,2002,526.0
dcs:who/TB_new_sp,dcid:country/BIH,2001,800.0
dcs:who/TB_new_sp,dcid:country/BLR,2000,2547.0
dcs:who/TB_new_sp,dcid:country/BLR,2001,2341.0
dcs:who/TB_new_sp,dcid:country/BLR,2004,1109.0
dcs:who/TB_new_sp,dcid:country/BLR,2005,1235.0
dcs:who/TB_new_sp,dcid:country/BLR,2006,1072.0
dcs:who/TB_new_sp,dcid:country/BLR,2010,1269.0
dcs:who/TB_new_sp,dcid:country/BLR,2012,1277.0
