SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_new_su,dcid:country/AFG,2002,0.0
dcs:who/TB_new_su,dcid:country/AFG,1999,0.0
dcs:who/TB_new_su,dcid:country/AFG,2010,2606.0
dcs:who/TB_new_su,dcid:country/AFG,2012,2665.0
dcs:who/TB_new_su,dcid:country/AFG,2011,1989.0
dcs:who/TB_new_su,dcid:country/AFG,2007,0.0
dcs:who/TB_new_su,dcid:country/AFG,2008,0.0
dcs:who/TB_new_su,dcid:country/AGO,2008,0.0
dcs:who/TB_new_su,dcid:country/AGO,2009,0.0
dcs:who/TB_new_su,dcid:country/AGO,1999,0.0
dcs:who/TB_new_su,dcid:country/AGO,2000,337.0
dcs:who/TB_new_su,dcid:country/AGO,2001,593.0
dcs:who/TB_new_su,dcid:country/AGO,2012,1830.0
dcs:who/TB_new_su,dcid:country/AGO,2006,0.0
dcs:who/TB_new_su,dcid:country/AGO,1995,1631.0
dcs:who/TB_new_su,dcid:country/AGO,2003,0.0
dcs:who/TB_new_su,dcid:country/AGO,2011,0.0
dcs:who/TB_new_su,dcid:country/AGO,2004,0.0
dcs:who/TB_new_su,dcid:country/ALB,2004,12.0
dcs:who/TB_new_su,dcid:country/ALB,2007,10.0
dcs:who/TB_new_su,dcid:country/ALB,2001,63.0
dcs:who/TB_new_su,dcid:country/ALB,2000,0.0
dcs:who/TB_new_su,dcid:country/ALB,1998,0.0
dcs:who/TB_new_su,dcid:country/ALB,2010,5.0
dcs:who/TB_new_su,dcid:country/ALB,2008,10.0
dcs:who/TB_new_su,dcid:country/ALB,2012,1.0
dcs:who/TB_new_su,dcid:country/ALB,2003,11.0
dcs:who/TB_new_su,dcid:country/ALB,2011,7.0
dcs:who/TB_new_su,dcid:country/ALB,1997,60.0
dcs:who/TB_new_su,dcid:country/ALB,2002,0.0
dcs:who/TB_new_su,dcid:country/ALB,2005,27.0
dcs:who/TB_new_su,dcid:country/ALB,2009,6.0
dcs:who/TB_new_su,dcid:country/ALB,1999,0.0
dcs:who/TB_new_su,dcid:country/ALB,2006,12.0
dcs:who/TB_new_su,dcid:country/AND,2007,0.0
dcs:who/TB_new_su,dcid:country/AND,2009,0.0
dcs:who/TB_new_su,dcid:country/AND,2008,0.0
dcs:who/TB_new_su,dcid:country/AND,2010,0.0
dcs:who/TB_new_su,dcid:country/AND,2001,0.0
dcs:who/TB_new_su,dcid:country/AND,1999,0.0
dcs:who/TB_new_su,dcid:country/AND,2002,0.0
dcs:who/TB_new_su,dcid:country/AND,2012,0.0
dcs:who/TB_new_su,dcid:country/AND,2000,1.0
dcs:who/TB_new_su,dcid:country/AND,1998,0.0
dcs:who/TB_new_su,dcid:country/AND,2004,0.0
dcs:who/TB_new_su,dcid:country/AND,2005,1.0
dcs:who/TB_new_su,dcid:country/AND,2003,0.0
dcs:who/TB_new_su,dcid:country/AND,2011,1.0
dcs:who/TB_new_su,dcid:country/ARE,2002,0.0
dcs:who/TB_new_su,dcid:country/ARE,1999,31.0
dcs:who/TB_new_su,dcid:country/ARE,2011,2.0
dcs:who/TB_new_su,dcid:country/ARE,2001,1.0
dcs:who/TB_new_su,dcid:country/ARE,2003,0.0
dcs:who/TB_new_su,dcid:country/ARE,2000,0.0
dcs:who/TB_new_su,dcid:country/ARE,2010,0.0
dcs:who/TB_new_su,dcid:country/ARE,2012,3.0
dcs:who/TB_new_su,dcid:country/ARE,2008,0.0
dcs:who/TB_new_su,dcid:country/ARE,2009,0.0
dcs:who/TB_new_su,dcid:country/ARE,2007,0.0
dcs:who/TB_new_su,dcid:country/ARE,2006,0.0
dcs:who/TB_new_su,dcid:country/ARE,2005,0.0
dcs:who/TB_new_su,dcid:country/ARG,2005,2011.0
dcs:who/TB_new_su,dcid:country/ARG,2004,2195.0
dcs:who/TB_new_su,dcid:country/ARG,2003,2339.0
dcs:who/TB_new_su,dcid:country/ARG,2010,923.0
