SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_rel_ep,dcid:Earth,2019,20782.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2016,13427.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2014,9316.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2015,12142.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2013,6241.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2021,18411.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2018,22302.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2020,18006.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2022,21983.0
dcs:who/TB_ret_rel_ep,dcid:Earth,2017,19186.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2021,7630.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2017,6486.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2018,9248.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2020,7727.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2015,1961.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2022,10739.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2014,715.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2016,2527.0
dcs:who/TB_ret_rel_ep,dcid:SouthEasternAsia,2019,8206.0
dcs:who/TB_ret_rel_ep,dcid:africa,2022,4684.0
dcs:who/TB_ret_rel_ep,dcid:africa,2021,4270.0
dcs:who/TB_ret_rel_ep,dcid:africa,2016,4178.0
dcs:who/TB_ret_rel_ep,dcid:africa,2018,5400.0
dcs:who/TB_ret_rel_ep,dcid:africa,2013,1368.0
dcs:who/TB_ret_rel_ep,dcid:africa,2014,3081.0
dcs:who/TB_ret_rel_ep,dcid:africa,2020,4374.0
dcs:who/TB_ret_rel_ep,dcid:africa,2015,3838.0
dcs:who/TB_ret_rel_ep,dcid:africa,2017,5065.0
dcs:who/TB_ret_rel_ep,dcid:africa,2019,5217.0
dcs:who/TB_ret_rel_ep,dcid:country/AFG,2021,62.0
dcs:who/TB_ret_rel_ep,dcid:country/AFG,2018,205.0
dcs:who/TB_ret_rel_ep,dcid:country/AFG,2020,69.0
dcs:who/TB_ret_rel_ep,dcid:country/AFG,2022,106.0
dcs:who/TB_ret_rel_ep,dcid:country/AFG,2017,207.0
dcs:who/TB_ret_rel_ep,dcid:country/AFG,2019,80.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2017,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2016,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2020,79.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2015,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2019,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2018,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2022,46.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2014,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AGO,2021,69.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2015,1.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2017,4.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2021,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2016,1.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2018,2.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2014,3.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2022,4.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2019,8.0
dcs:who/TB_ret_rel_ep,dcid:country/ALB,2020,1.0
dcs:who/TB_ret_rel_ep,dcid:country/AND,2015,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AND,2017,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AND,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AND,2016,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AND,2018,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2021,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2014,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2016,2.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2022,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2017,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2019,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2015,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2018,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARE,2020,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2016,63.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2015,41.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2022,24.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2019,30.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2017,60.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2013,37.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2020,19.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2021,25.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2018,45.0
dcs:who/TB_ret_rel_ep,dcid:country/ARG,2014,47.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2015,76.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2022,7.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2021,6.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2018,15.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2017,22.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2014,94.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2020,3.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2013,96.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2016,23.0
dcs:who/TB_ret_rel_ep,dcid:country/ARM,2019,6.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2021,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2018,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2016,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2017,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2019,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2020,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2013,1.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2022,0.0
dcs:who/TB_ret_rel_ep,dcid:country/ATG,2014,0.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2021,18.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2022,13.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2018,13.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2019,24.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2020,16.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2013,13.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2014,14.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2017,16.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2016,22.0
dcs:who/TB_ret_rel_ep,dcid:country/AUS,2015,23.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2014,2.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2019,5.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2013,1.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2017,4.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2015,4.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2020,1.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2022,1.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2021,2.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2018,5.0
dcs:who/TB_ret_rel_ep,dcid:country/AUT,2016,3.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2021,42.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2019,102.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2018,114.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2017,102.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2014,140.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2015,211.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2013,15.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2022,39.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2020,63.0
dcs:who/TB_ret_rel_ep,dcid:country/AZE,2016,204.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2015,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2019,64.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2020,61.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2018,60.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2021,83.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2017,47.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2016,23.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2022,111.0
dcs:who/TB_ret_rel_ep,dcid:country/BDI,2014,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2021,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2019,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2020,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2017,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2015,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2016,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2018,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2022,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BEN,2014,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2022,15.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2015,31.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2016,8.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2018,7.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2017,21.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2020,9.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2014,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2019,9.0
dcs:who/TB_ret_rel_ep,dcid:country/BFA,2021,18.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2015,1320.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2016,1654.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2022,2700.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2020,1859.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2014,309.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2017,1686.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2021,2254.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2013,0.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2018,1743.0
dcs:who/TB_ret_rel_ep,dcid:country/BGD,2019,2143.0
dcs:who/TB_ret_rel_ep,dcid:country/BGR,2022,4.0
dcs:who/TB_ret_rel_ep,dcid:country/BGR,2019,6.0
dcs:who/TB_ret_rel_ep,dcid:country/BGR,2020,4.0
dcs:who/TB_ret_rel_ep,dcid:country/BGR,2018,18.0
dcs:who/TB_ret_rel_ep,dcid:country/BGR,2021,1.0
