SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_rel_labconf,dcid:Earth,2014,283632.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2022,270007.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2020,212529.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2013,267892.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2016,284268.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2018,288645.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2015,291746.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2021,250403.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2019,245771.0
dcs:who/TB_ret_rel_labconf,dcid:Earth,2017,286234.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2019,98374.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2014,152498.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2016,142624.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2013,128256.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2022,126650.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2017,139898.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2015,152825.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2018,136906.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2021,122613.0
dcs:who/TB_ret_rel_labconf,dcid:SouthEasternAsia,2020,87223.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2014,39814.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2019,47610.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2018,47970.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2015,47871.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2020,41179.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2021,41719.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2013,44718.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2016,49445.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2017,49428.0
dcs:who/TB_ret_rel_labconf,dcid:africa,2022,47164.0
dcs:who/TB_ret_rel_labconf,dcid:country/AFG,2018,1477.0
dcs:who/TB_ret_rel_labconf,dcid:country/AFG,2017,1467.0
