SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_tad,dcid:country/AFG,2010,62.0
dcs:who/TB_ret_tad,dcid:country/AFG,2007,0.0
dcs:who/TB_ret_tad,dcid:country/AFG,2012,37.0
dcs:who/TB_ret_tad,dcid:country/AFG,2008,0.0
dcs:who/TB_ret_tad,dcid:country/AFG,2009,58.0
dcs:who/TB_ret_tad,dcid:country/AFG,2011,48.0
dcs:who/TB_ret_tad,dcid:country/AGO,1997,461.0
dcs:who/TB_ret_tad,dcid:country/AGO,2011,963.0
dcs:who/TB_ret_tad,dcid:country/AGO,2006,3958.0
dcs:who/TB_ret_tad,dcid:country/AGO,2010,3820.0
dcs:who/TB_ret_tad,dcid:country/AGO,2007,645.0
dcs:who/TB_ret_tad,dcid:country/AGO,2012,972.0
dcs:who/TB_ret_tad,dcid:country/AGO,2003,541.0
dcs:who/TB_ret_tad,dcid:country/AGO,2009,828.0
dcs:who/TB_ret_tad,dcid:country/AGO,2008,803.0
dcs:who/TB_ret_tad,dcid:country/AGO,2005,646.0
dcs:who/TB_ret_tad,dcid:country/AGO,1998,328.0
dcs:who/TB_ret_tad,dcid:country/AGO,1999,428.0
dcs:who/TB_ret_tad,dcid:country/AGO,2004,685.0
dcs:who/TB_ret_tad,dcid:country/ALB,1999,0.0
dcs:who/TB_ret_tad,dcid:country/ALB,2009,2.0
dcs:who/TB_ret_tad,dcid:country/ALB,2008,0.0
dcs:who/TB_ret_tad,dcid:country/ALB,2006,1.0
dcs:who/TB_ret_tad,dcid:country/ALB,2012,4.0
dcs:who/TB_ret_tad,dcid:country/ALB,2010,1.0
dcs:who/TB_ret_tad,dcid:country/ALB,2004,3.0
dcs:who/TB_ret_tad,dcid:country/ALB,2011,0.0
dcs:who/TB_ret_tad,dcid:country/ALB,2000,0.0
dcs:who/TB_ret_tad,dcid:country/ALB,2005,3.0
dcs:who/TB_ret_tad,dcid:country/ALB,2007,2.0
dcs:who/TB_ret_tad,dcid:country/AND,2000,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2007,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2010,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2011,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2012,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2004,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2003,0.0
dcs:who/TB_ret_tad,dcid:country/AND,2009,0.0
dcs:who/TB_ret_tad,dcid:country/AND,1997,1.0
dcs:who/TB_ret_tad,dcid:country/AND,2008,0.0
dcs:who/TB_ret_tad,dcid:country/AND,1999,0.0
dcs:who/TB_ret_tad,dcid:country/ARE,2007,0.0
dcs:who/TB_ret_tad,dcid:country/ARE,2010,1.0
dcs:who/TB_ret_tad,dcid:country/ARE,2011,3.0
dcs:who/TB_ret_tad,dcid:country/ARE,2009,0.0
dcs:who/TB_ret_tad,dcid:country/ARE,2003,0.0
dcs:who/TB_ret_tad,dcid:country/ARE,1999,2.0
dcs:who/TB_ret_tad,dcid:country/ARE,2006,0.0
dcs:who/TB_ret_tad,dcid:country/ARE,2012,6.0
dcs:who/TB_ret_tad,dcid:country/ARE,2008,0.0
dcs:who/TB_ret_tad,dcid:country/ARE,2005,0.0
dcs:who/TB_ret_tad,dcid:country/ARG,2006,256.0
dcs:who/TB_ret_tad,dcid:country/ARG,2011,312.0
dcs:who/TB_ret_tad,dcid:country/ARG,2010,426.0
dcs:who/TB_ret_tad,dcid:country/ARG,2012,343.0
dcs:who/TB_ret_tad,dcid:country/ARG,2007,0.0
dcs:who/TB_ret_tad,dcid:country/ARG,2000,374.0
dcs:who/TB_ret_tad,dcid:country/ARM,2005,46.0
dcs:who/TB_ret_tad,dcid:country/ARM,2012,9.0
dcs:who/TB_ret_tad,dcid:country/ARM,2010,14.0
dcs:who/TB_ret_tad,dcid:country/ARM,2007,76.0
dcs:who/TB_ret_tad,dcid:country/ARM,2011,13.0
dcs:who/TB_ret_tad,dcid:country/ARM,2008,44.0
dcs:who/TB_ret_tad,dcid:country/ARM,2009,25.0
dcs:who/TB_ret_tad,dcid:country/ARM,2006,63.0
dcs:who/TB_ret_tad,dcid:country/ARM,2004,14.0
dcs:who/TB_ret_tad,dcid:country/ARM,1999,4.0
dcs:who/TB_ret_tad,dcid:country/ARM,2000,3.0
dcs:who/TB_ret_tad,dcid:country/ARM,2003,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2008,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2012,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2010,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2007,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2009,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2011,1.0
dcs:who/TB_ret_tad,dcid:country/ATG,2005,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2006,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2001,0.0
dcs:who/TB_ret_tad,dcid:country/ATG,2003,0.0
dcs:who/TB_ret_tad,dcid:country/AUS,2008,4.0
dcs:who/TB_ret_tad,dcid:country/AUS,2011,2.0
dcs:who/TB_ret_tad,dcid:country/AUS,2012,0.0
dcs:who/TB_ret_tad,dcid:country/AUS,1999,9.0
dcs:who/TB_ret_tad,dcid:country/AUS,2006,4.0
dcs:who/TB_ret_tad,dcid:country/AUS,2010,2.0
dcs:who/TB_ret_tad,dcid:country/AUS,2009,3.0
dcs:who/TB_ret_tad,dcid:country/AUS,1998,0.0
dcs:who/TB_ret_tad,dcid:country/AUS,2004,4.0
dcs:who/TB_ret_tad,dcid:country/AUS,2001,16.0
dcs:who/TB_ret_tad,dcid:country/AUS,2007,2.0
dcs:who/TB_ret_tad,dcid:country/AUT,2012,0.0
dcs:who/TB_ret_tad,dcid:country/AUT,2003,0.0
dcs:who/TB_ret_tad,dcid:country/AUT,2000,15.0
dcs:who/TB_ret_tad,dcid:country/AUT,2010,0.0
dcs:who/TB_ret_tad,dcid:country/AUT,2009,8.0
dcs:who/TB_ret_tad,dcid:country/AUT,2011,0.0
dcs:who/TB_ret_tad,dcid:country/AUT,2004,0.0
dcs:who/TB_ret_tad,dcid:country/AZE,2012,397.0
dcs:who/TB_ret_tad,dcid:country/AZE,2009,166.0
dcs:who/TB_ret_tad,dcid:country/AZE,2000,0.0
dcs:who/TB_ret_tad,dcid:country/AZE,2005,1886.0
dcs:who/TB_ret_tad,dcid:country/AZE,1999,9.0
dcs:who/TB_ret_tad,dcid:country/AZE,1996,0.0
dcs:who/TB_ret_tad,dcid:country/AZE,2011,67.0
dcs:who/TB_ret_tad,dcid:country/AZE,2010,412.0
dcs:who/TB_ret_tad,dcid:country/AZE,2003,0.0
dcs:who/TB_ret_tad,dcid:country/AZE,2004,852.0
dcs:who/TB_ret_tad,dcid:country/BDI,2005,21.0
dcs:who/TB_ret_tad,dcid:country/BDI,2010,35.0
dcs:who/TB_ret_tad,dcid:country/BDI,1998,54.0
dcs:who/TB_ret_tad,dcid:country/BDI,2011,33.0
dcs:who/TB_ret_tad,dcid:country/BDI,2003,18.0
dcs:who/TB_ret_tad,dcid:country/BDI,2012,47.0
dcs:who/TB_ret_tad,dcid:country/BDI,2004,10.0
dcs:who/TB_ret_tad,dcid:country/BDI,2001,9.0
dcs:who/TB_ret_tad,dcid:country/BDI,2009,23.0
dcs:who/TB_ret_tad,dcid:country/BDI,2000,15.0
dcs:who/TB_ret_tad,dcid:country/BDI,2007,25.0
dcs:who/TB_ret_tad,dcid:country/BDI,2008,34.0
dcs:who/TB_ret_tad,dcid:country/BDI,1999,31.0
dcs:who/TB_ret_tad,dcid:country/BDI,2006,22.0
dcs:who/TB_ret_tad,dcid:country/BDI,2002,19.0
dcs:who/TB_ret_tad,dcid:country/BDI,1996,35.0
dcs:who/TB_ret_tad,dcid:country/BEL,1999,63.0
dcs:who/TB_ret_tad,dcid:country/BEL,2000,0.0
dcs:who/TB_ret_tad,dcid:country/BEL,2008,0.0
dcs:who/TB_ret_tad,dcid:country/BEL,2004,0.0
dcs:who/TB_ret_tad,dcid:country/BEL,2003,0.0
dcs:who/TB_ret_tad,dcid:country/BEN,2005,101.0
dcs:who/TB_ret_tad,dcid:country/BEN,2010,27.0
dcs:who/TB_ret_tad,dcid:country/BEN,1992,67.0
dcs:who/TB_ret_tad,dcid:country/BEN,2003,177.0
dcs:who/TB_ret_tad,dcid:country/BEN,2009,41.0
dcs:who/TB_ret_tad,dcid:country/BEN,2012,23.0
dcs:who/TB_ret_tad,dcid:country/BEN,2007,46.0
dcs:who/TB_ret_tad,dcid:country/BEN,2006,56.0
dcs:who/TB_ret_tad,dcid:country/BEN,2001,171.0
dcs:who/TB_ret_tad,dcid:country/BEN,1998,102.0
dcs:who/TB_ret_tad,dcid:country/BEN,2008,47.0
dcs:who/TB_ret_tad,dcid:country/BEN,2004,103.0
dcs:who/TB_ret_tad,dcid:country/BEN,2011,29.0
dcs:who/TB_ret_tad,dcid:country/BEN,1999,99.0
dcs:who/TB_ret_tad,dcid:country/BEN,1997,101.0
dcs:who/TB_ret_tad,dcid:country/BEN,2000,155.0
dcs:who/TB_ret_tad,dcid:country/BEN,1994,76.0
dcs:who/TB_ret_tad,dcid:country/BEN,1996,134.0
dcs:who/TB_ret_tad,dcid:country/BEN,1993,68.0
dcs:who/TB_ret_tad,dcid:country/BEN,2002,169.0
