SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_ret_taf,dcid:country/AFG,2012,160.0
dcs:who/TB_ret_taf,dcid:country/AFG,2010,147.0
dcs:who/TB_ret_taf,dcid:country/AFG,2003,141.0
dcs:who/TB_ret_taf,dcid:country/AFG,2009,150.0
dcs:who/TB_ret_taf,dcid:country/AFG,2011,136.0
dcs:who/TB_ret_taf,dcid:country/AFG,2008,0.0
dcs:who/TB_ret_taf,dcid:country/AFG,2007,0.0
dcs:who/TB_ret_taf,dcid:country/AGO,2012,635.0
dcs:who/TB_ret_taf,dcid:country/AGO,2005,496.0
dcs:who/TB_ret_taf,dcid:country/AGO,2010,662.0
dcs:who/TB_ret_taf,dcid:country/AGO,1998,174.0
dcs:who/TB_ret_taf,dcid:country/AGO,2009,637.0
dcs:who/TB_ret_taf,dcid:country/AGO,2003,433.0
dcs:who/TB_ret_taf,dcid:country/AGO,2011,723.0
dcs:who/TB_ret_taf,dcid:country/AGO,2006,322.0
dcs:who/TB_ret_taf,dcid:country/AGO,2008,544.0
dcs:who/TB_ret_taf,dcid:country/AGO,1999,193.0
dcs:who/TB_ret_taf,dcid:country/AGO,2007,446.0
dcs:who/TB_ret_taf,dcid:country/AGO,2004,358.0
dcs:who/TB_ret_taf,dcid:country/AGO,1997,234.0
dcs:who/TB_ret_taf,dcid:country/ALB,2004,1.0
dcs:who/TB_ret_taf,dcid:country/ALB,2007,0.0
dcs:who/TB_ret_taf,dcid:country/ALB,2012,0.0
dcs:who/TB_ret_taf,dcid:country/ALB,2010,3.0
dcs:who/TB_ret_taf,dcid:country/ALB,2009,0.0
dcs:who/TB_ret_taf,dcid:country/ALB,2011,0.0
dcs:who/TB_ret_taf,dcid:country/ALB,2008,0.0
dcs:who/TB_ret_taf,dcid:country/ALB,2000,4.0
dcs:who/TB_ret_taf,dcid:country/ALB,2005,1.0
dcs:who/TB_ret_taf,dcid:country/ALB,1999,5.0
dcs:who/TB_ret_taf,dcid:country/AND,2011,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2010,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2012,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2008,0.0
dcs:who/TB_ret_taf,dcid:country/AND,1997,1.0
dcs:who/TB_ret_taf,dcid:country/AND,2009,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2007,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2003,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2004,0.0
dcs:who/TB_ret_taf,dcid:country/AND,1999,0.0
dcs:who/TB_ret_taf,dcid:country/AND,2000,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2012,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2005,2.0
dcs:who/TB_ret_taf,dcid:country/ARE,2006,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2007,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2010,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2009,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2003,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,2011,0.0
dcs:who/TB_ret_taf,dcid:country/ARE,1999,2.0
dcs:who/TB_ret_taf,dcid:country/ARE,2008,0.0
dcs:who/TB_ret_taf,dcid:country/ARG,2003,404.0
dcs:who/TB_ret_taf,dcid:country/ARG,2005,381.0
dcs:who/TB_ret_taf,dcid:country/ARG,1999,671.0
dcs:who/TB_ret_taf,dcid:country/ARG,2000,488.0
dcs:who/TB_ret_taf,dcid:country/ARG,2011,23.0
dcs:who/TB_ret_taf,dcid:country/ARG,2012,8.0
dcs:who/TB_ret_taf,dcid:country/ARG,2007,0.0
dcs:who/TB_ret_taf,dcid:country/ARG,2004,420.0
dcs:who/TB_ret_taf,dcid:country/ARM,2007,62.0
dcs:who/TB_ret_taf,dcid:country/ARM,2006,72.0
dcs:who/TB_ret_taf,dcid:country/ARM,2010,12.0
dcs:who/TB_ret_taf,dcid:country/ARM,2011,10.0
dcs:who/TB_ret_taf,dcid:country/ARM,2008,51.0
dcs:who/TB_ret_taf,dcid:country/ARM,2012,6.0
dcs:who/TB_ret_taf,dcid:country/ARM,2009,30.0
dcs:who/TB_ret_taf,dcid:country/ARM,2005,70.0
dcs:who/TB_ret_taf,dcid:country/ARM,2004,27.0
dcs:who/TB_ret_taf,dcid:country/ARM,2003,0.0
dcs:who/TB_ret_taf,dcid:country/ARM,2000,8.0
dcs:who/TB_ret_taf,dcid:country/ARM,1999,7.0
dcs:who/TB_ret_taf,dcid:country/ATG,2001,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2011,1.0
dcs:who/TB_ret_taf,dcid:country/ATG,2007,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2012,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2010,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2003,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2008,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2006,0.0
dcs:who/TB_ret_taf,dcid:country/ATG,2009,1.0
dcs:who/TB_ret_taf,dcid:country/ATG,2005,0.0
dcs:who/TB_ret_taf,dcid:country/AUS,1999,0.0
dcs:who/TB_ret_taf,dcid:country/AUS,2001,0.0
dcs:who/TB_ret_taf,dcid:country/AUS,2011,0.0
dcs:who/TB_ret_taf,dcid:country/AUS,2012,1.0
dcs:who/TB_ret_taf,dcid:country/AUS,2010,2.0
dcs:who/TB_ret_taf,dcid:country/AUS,2006,0.0
dcs:who/TB_ret_taf,dcid:country/AUS,2007,0.0
dcs:who/TB_ret_taf,dcid:country/AUS,2005,5.0
dcs:who/TB_ret_taf,dcid:country/AUS,1998,1.0
dcs:who/TB_ret_taf,dcid:country/AUS,2009,5.0
dcs:who/TB_ret_taf,dcid:country/AUS,2008,0.0
dcs:who/TB_ret_taf,dcid:country/AUT,2011,0.0
dcs:who/TB_ret_taf,dcid:country/AUT,2004,0.0
dcs:who/TB_ret_taf,dcid:country/AUT,2012,0.0
dcs:who/TB_ret_taf,dcid:country/AUT,2010,0.0
dcs:who/TB_ret_taf,dcid:country/AUT,2000,0.0
dcs:who/TB_ret_taf,dcid:country/AUT,2003,0.0
dcs:who/TB_ret_taf,dcid:country/AZE,2012,244.0
dcs:who/TB_ret_taf,dcid:country/AZE,2009,92.0
dcs:who/TB_ret_taf,dcid:country/AZE,1996,0.0
dcs:who/TB_ret_taf,dcid:country/AZE,2000,0.0
dcs:who/TB_ret_taf,dcid:country/AZE,2003,0.0
dcs:who/TB_ret_taf,dcid:country/AZE,1999,9.0
dcs:who/TB_ret_taf,dcid:country/AZE,2010,277.0
dcs:who/TB_ret_taf,dcid:country/AZE,2004,245.0
dcs:who/TB_ret_taf,dcid:country/AZE,2011,13.0
dcs:who/TB_ret_taf,dcid:country/BDI,1996,4.0
dcs:who/TB_ret_taf,dcid:country/BDI,2001,91.0
dcs:who/TB_ret_taf,dcid:country/BDI,2003,6.0
dcs:who/TB_ret_taf,dcid:country/BDI,2012,48.0
dcs:who/TB_ret_taf,dcid:country/BDI,2011,53.0
dcs:who/TB_ret_taf,dcid:country/BDI,2010,73.0
dcs:who/TB_ret_taf,dcid:country/BDI,2009,23.0
dcs:who/TB_ret_taf,dcid:country/BDI,2002,5.0
dcs:who/TB_ret_taf,dcid:country/BDI,2000,5.0
dcs:who/TB_ret_taf,dcid:country/BDI,1999,16.0
dcs:who/TB_ret_taf,dcid:country/BDI,2005,21.0
dcs:who/TB_ret_taf,dcid:country/BDI,2008,23.0
dcs:who/TB_ret_taf,dcid:country/BDI,2007,34.0
dcs:who/TB_ret_taf,dcid:country/BDI,2004,5.0
dcs:who/TB_ret_taf,dcid:country/BDI,1998,12.0
dcs:who/TB_ret_taf,dcid:country/BDI,2006,40.0
dcs:who/TB_ret_taf,dcid:country/BEL,2003,0.0
dcs:who/TB_ret_taf,dcid:country/BEL,2008,0.0
dcs:who/TB_ret_taf,dcid:country/BEL,2000,0.0
dcs:who/TB_ret_taf,dcid:country/BEL,2004,0.0
dcs:who/TB_ret_taf,dcid:country/BEN,1997,28.0
dcs:who/TB_ret_taf,dcid:country/BEN,2010,58.0
dcs:who/TB_ret_taf,dcid:country/BEN,2007,62.0
dcs:who/TB_ret_taf,dcid:country/BEN,2003,63.0
dcs:who/TB_ret_taf,dcid:country/BEN,1999,16.0
dcs:who/TB_ret_taf,dcid:country/BEN,2012,86.0
dcs:who/TB_ret_taf,dcid:country/BEN,2005,86.0
dcs:who/TB_ret_taf,dcid:country/BEN,2011,79.0
dcs:who/TB_ret_taf,dcid:country/BEN,2002,64.0
dcs:who/TB_ret_taf,dcid:country/BEN,1998,30.0
dcs:who/TB_ret_taf,dcid:country/BEN,2006,59.0
dcs:who/TB_ret_taf,dcid:country/BEN,2001,31.0
dcs:who/TB_ret_taf,dcid:country/BEN,2008,58.0
dcs:who/TB_ret_taf,dcid:country/BEN,2009,68.0
dcs:who/TB_ret_taf,dcid:country/BEN,1996,26.0
dcs:who/TB_ret_taf,dcid:country/BEN,2004,85.0
dcs:who/TB_ret_taf,dcid:country/BEN,2000,34.0
dcs:who/TB_ret_taf,dcid:country/BFA,2006,225.0
dcs:who/TB_ret_taf,dcid:country/BFA,2007,195.0
dcs:who/TB_ret_taf,dcid:country/BFA,2000,55.0
dcs:who/TB_ret_taf,dcid:country/BFA,2011,215.0
dcs:who/TB_ret_taf,dcid:country/BFA,2001,39.0
dcs:who/TB_ret_taf,dcid:country/BFA,2010,222.0
dcs:who/TB_ret_taf,dcid:country/BFA,2012,157.0
dcs:who/TB_ret_taf,dcid:country/BFA,2004,99.0
dcs:who/TB_ret_taf,dcid:country/BFA,2005,119.0
dcs:who/TB_ret_taf,dcid:country/BFA,2003,85.0
dcs:who/TB_ret_taf,dcid:country/BFA,2008,198.0
dcs:who/TB_ret_taf,dcid:country/BFA,2002,52.0
dcs:who/TB_ret_taf,dcid:country/BFA,2009,271.0
dcs:who/TB_ret_taf,dcid:country/BFA,1999,21.0
dcs:who/TB_ret_taf,dcid:country/BGD,2008,742.0
dcs:who/TB_ret_taf,dcid:country/BGD,2012,807.0
dcs:who/TB_ret_taf,dcid:country/BGD,2010,961.0
dcs:who/TB_ret_taf,dcid:country/BGD,1996,0.0
dcs:who/TB_ret_taf,dcid:country/BGD,2011,886.0
dcs:who/TB_ret_taf,dcid:country/BGR,2004,0.0
dcs:who/TB_ret_taf,dcid:country/BGR,2000,0.0
dcs:who/TB_ret_taf,dcid:country/BGR,2010,40.0
dcs:who/TB_ret_taf,dcid:country/BGR,2007,28.0
dcs:who/TB_ret_taf,dcid:country/BGR,2003,0.0
dcs:who/TB_ret_taf,dcid:country/BGR,2012,29.0
dcs:who/TB_ret_taf,dcid:country/BGR,2009,20.0
dcs:who/TB_ret_taf,dcid:country/BGR,2008,12.0
dcs:who/TB_ret_taf,dcid:country/BGR,2011,32.0
dcs:who/TB_ret_taf,dcid:country/BHR,2010,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2009,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2005,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,1999,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2004,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2006,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2012,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2007,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2008,0.0
dcs:who/TB_ret_taf,dcid:country/BHR,2011,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,2007,1.0
dcs:who/TB_ret_taf,dcid:country/BHS,2006,1.0
dcs:who/TB_ret_taf,dcid:country/BHS,2009,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,2012,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,2011,1.0
dcs:who/TB_ret_taf,dcid:country/BHS,2004,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,2000,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,2010,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,2008,2.0
dcs:who/TB_ret_taf,dcid:country/BHS,2005,0.0
dcs:who/TB_ret_taf,dcid:country/BHS,1999,0.0
dcs:who/TB_ret_taf,dcid:country/BIH,2011,0.0
dcs:who/TB_ret_taf,dcid:country/BIH,2010,0.0
dcs:who/TB_ret_taf,dcid:country/BIH,2007,0.0
