SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TB_tot_newrel,dcid:Earth,2002,4098562.0
dcs:who/TB_tot_newrel,dcid:Earth,2001,3846065.0
dcs:who/TB_tot_newrel,dcid:Earth,2007,5585428.0
dcs:who/TB_tot_newrel,dcid:Earth,1996,3654014.0
dcs:who/TB_tot_newrel,dcid:Earth,1991,3719878.0
dcs:who/TB_tot_newrel,dcid:Earth,2006,5403266.0
dcs:who/TB_tot_newrel,dcid:Earth,1995,3400234.0
dcs:who/TB_tot_newrel,dcid:Earth,1997,3524410.0
dcs:who/TB_tot_newrel,dcid:Earth,2010,5763310.0
dcs:who/TB_tot_newrel,dcid:Earth,2011,5772224.0
dcs:who/TB_tot_newrel,dcid:Earth,2009,5803251.0
dcs:who/TB_tot_newrel,dcid:Earth,1990,3740193.0
dcs:who/TB_tot_newrel,dcid:Earth,1992,3121030.0
dcs:who/TB_tot_newrel,dcid:Earth,1998,3649383.0
dcs:who/TB_tot_newrel,dcid:Earth,1999,3820546.0
dcs:who/TB_tot_newrel,dcid:Earth,2004,4813985.0
dcs:who/TB_tot_newrel,dcid:Earth,2008,5721862.0
dcs:who/TB_tot_newrel,dcid:Earth,2000,3746673.0
dcs:who/TB_tot_newrel,dcid:Earth,1993,3035452.0
dcs:who/TB_tot_newrel,dcid:Earth,1994,3178149.0
dcs:who/TB_tot_newrel,dcid:Earth,2003,4400782.0
dcs:who/TB_tot_newrel,dcid:Earth,2005,5130170.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,1998,1279041.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2003,1551516.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2004,1686681.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2007,2007193.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,1995,1401096.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2010,2123119.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,1991,1747252.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,1994,1298759.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,1997,1308981.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2009,2124371.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2000,1414228.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2005,1789186.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2001,1414141.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,1990,1719365.0
dcs:who/TB_tot_newrel,dcid:SouthEasternAsia,2002,1488126.0
