SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/TOTENV_2,dcid:country/AFG,2012,349.89371
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/AFG,2012,71.20271
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/AFG,2012,229.74493
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/AFG,2012,48.94607
dcs:who/TOTENV_2,dcid:country/AGO,2012,407.60356
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/AGO,2012,188.11059
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/AGO,2012,157.3478
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/AGO,2012,62.14518
dcs:who/TOTENV_2,dcid:country/ALB,2012,171.53333
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/ALB,2012,15.48482
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/ALB,2012,3.21714
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/ALB,2012,152.83137
dcs:who/TOTENV_2,dcid:country/AND,2012,42.72161
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/AND,2012,37.931
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/AND,2012,4.40305
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/AND,2012,0.38756
dcs:who/TOTENV_2,dcid:country/ARE,2012,113.28555
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/ARE,2012,101.85097
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/ARE,2012,9.60723
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/ARE,2012,1.82735
dcs:who/TOTENV_2,dcid:country/ARG,2012,83.99542
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/ARG,2012,18.436
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/ARG,2012,61.65546
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/ARG,2012,3.90397
dcs:who/TOTENV_2,dcid:country/ARM,2012,203.68714
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/ARM,2012,4.26872
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/ARM,2012,182.35223
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/ARM,2012,17.06619
dcs:who/TOTENV_2,dcid:country/ATG,2012,78.57437
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/ATG,2012,10.4793
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/ATG,2012,1.96935
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE060,dcid:country/ATG,2012,66.12571
dcs:who/TOTENV_2,dcid:country/AUS,2012,38.60956
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE151,dcid:country/AUS,2012,5.41002
dcs:who/TOTENV_2.ENVCAUSE--ENVCAUSE001,dcid:country/AUS,2012,0.6647
