SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2023,12.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2022,30.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2019,176.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2016,37.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2021,6.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2018,33.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2020,140.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:Earth,2017,22.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2022,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2017,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2021,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2020,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2019,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2018,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:SouthEasternAsia,2016,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2022,8.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2018,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2017,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2021,1.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2019,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2020,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:africa,2016,4.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2023,6.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2021,4.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2022,2.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2016,13.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2017,14.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2020,56.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2018,21.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AFG,2019,29.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2022,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2016,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2021,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2019,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2018,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2020,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AGO,2017,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2022,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2016,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2021,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2020,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2019,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2018,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ALB,2017,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AND,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/AND,2022,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2022,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2016,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2021,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2018,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2017,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2019,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARE,2020,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2022,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2016,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2021,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2018,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2017,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2020,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARG,2019,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARM,2023,0.0
dcs:who/VACCINEPREVENTABLE_WILDPOLIO,dcid:country/ARM,2022,0.0
