SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WHOSIS_000006,dcid:Earth,2020,43.76
dcs:who/WHOSIS_000006,dcid:SouthEasternAsia,2020,56.78
dcs:who/WHOSIS_000006,dcid:africa,2020,44.84
dcs:who/WHOSIS_000006,dcid:country/AFG,2015,43.13
dcs:who/WHOSIS_000006,dcid:country/AFG,2018,57.5
dcs:who/WHOSIS_000006,dcid:country/AGO,2015,37.38
dcs:who/WHOSIS_000006,dcid:country/ALB,2009,37.14
dcs:who/WHOSIS_000006,dcid:country/ALB,2005,3.39
dcs:who/WHOSIS_000006,dcid:country/ALB,2017,36.54
dcs:who/WHOSIS_000006,dcid:country/ALB,2000,6.27
dcs:who/WHOSIS_000006,dcid:country/ARG,2011,31.95
dcs:who/WHOSIS_000006,dcid:country/ARM,2000,29.52
dcs:who/WHOSIS_000006,dcid:country/ARM,2010,34.12
dcs:who/WHOSIS_000006,dcid:country/ARM,2005,32.47
dcs:who/WHOSIS_000006,dcid:country/ARM,2016,44.49
dcs:who/WHOSIS_000006,dcid:country/AZE,2006,10.81
dcs:who/WHOSIS_000006,dcid:country/AZE,2013,12.1
dcs:who/WHOSIS_000006,dcid:country/AZE,2000,6.49
dcs:who/WHOSIS_000006,dcid:country/BDI,2010,69.28
dcs:who/WHOSIS_000006,dcid:country/BDI,1987,77.4
dcs:who/WHOSIS_000006,dcid:country/BDI,2016,82.33
dcs:who/WHOSIS_000006,dcid:country/BDI,2019,71.9
dcs:who/WHOSIS_000006,dcid:country/BDI,2000,59.22
dcs:who/WHOSIS_000006,dcid:country/BEN,2012,32.47
dcs:who/WHOSIS_000006,dcid:country/BEN,2006,42.25
dcs:who/WHOSIS_000006,dcid:country/BEN,2018,41.4
dcs:who/WHOSIS_000006,dcid:country/BEN,2014,41.37
dcs:who/WHOSIS_000006,dcid:country/BEN,2001,37.78
dcs:who/WHOSIS_000006,dcid:country/BEN,1996,10.1
dcs:who/WHOSIS_000006,dcid:country/BFA,2013,47.2
dcs:who/WHOSIS_000006,dcid:country/BFA,2003,18.28
dcs:who/WHOSIS_000006,dcid:country/BFA,2018,55.8
dcs:who/WHOSIS_000006,dcid:country/BFA,2017,47.8
dcs:who/WHOSIS_000006,dcid:country/BFA,2012,38.2
dcs:who/WHOSIS_000006,dcid:country/BFA,2010,24.81
dcs:who/WHOSIS_000006,dcid:country/BFA,1993,9.2
dcs:who/WHOSIS_000006,dcid:country/BFA,2006,5.87
dcs:who/WHOSIS_000006,dcid:country/BFA,1999,5.5
dcs:who/WHOSIS_000006,dcid:country/BFA,2009,16.0
dcs:who/WHOSIS_000006,dcid:country/BFA,2014,50.1
dcs:who/WHOSIS_000006,dcid:country/BFA,2019,57.89
dcs:who/WHOSIS_000006,dcid:country/BGD,2019,62.6
dcs:who/WHOSIS_000006,dcid:country/BGD,2013,55.9
dcs:who/WHOSIS_000006,dcid:country/BGD,2014,55.29
dcs:who/WHOSIS_000006,dcid:country/BGD,2011,64.09
dcs:who/WHOSIS_000006,dcid:country/BGD,2018,64.95
dcs:who/WHOSIS_000006,dcid:country/BGD,2004,38.92
dcs:who/WHOSIS_000006,dcid:country/BGD,1997,45.2
dcs:who/WHOSIS_000006,dcid:country/BGD,1994,46.0
dcs:who/WHOSIS_000006,dcid:country/BGD,2006,37.24
dcs:who/WHOSIS_000006,dcid:country/BGD,2007,42.93
dcs:who/WHOSIS_000006,dcid:country/BIH,2012,18.19
dcs:who/WHOSIS_000006,dcid:country/BIH,1999,5.5
dcs:who/WHOSIS_000006,dcid:country/BIH,2006,17.61
dcs:who/WHOSIS_000006,dcid:country/BLR,2019,21.7
dcs:who/WHOSIS_000006,dcid:country/BLR,2012,19.03
dcs:who/WHOSIS_000006,dcid:country/BLR,2005,10.27
dcs:who/WHOSIS_000006,dcid:country/BLZ,2015,33.16
dcs:who/WHOSIS_000006,dcid:country/BLZ,2006,9.3
dcs:who/WHOSIS_000006,dcid:country/BLZ,2011,14.66
dcs:who/WHOSIS_000006,dcid:country/BOL,1989,50.6
dcs:who/WHOSIS_000006,dcid:country/BOL,1994,43.3
dcs:who/WHOSIS_000006,dcid:country/BOL,2008,56.79
dcs:who/WHOSIS_000006,dcid:country/BOL,2016,55.66
dcs:who/WHOSIS_000006,dcid:country/BOL,2012,64.3
dcs:who/WHOSIS_000006,dcid:country/BOL,1998,50.6
dcs:who/WHOSIS_000006,dcid:country/BOL,2000,38.58
dcs:who/WHOSIS_000006,dcid:country/BOL,2003,53.54
dcs:who/WHOSIS_000006,dcid:country/BRA,1986,2.6
dcs:who/WHOSIS_000006,dcid:country/BRA,2007,38.6
dcs:who/WHOSIS_000006,dcid:country/BRB,2012,19.7
dcs:who/WHOSIS_000006,dcid:country/BTN,2010,48.7
dcs:who/WHOSIS_000006,dcid:country/BTN,2015,53.16
dcs:who/WHOSIS_000006,dcid:country/BWA,2017,29.99
dcs:who/WHOSIS_000006,dcid:country/BWA,2007,20.3
dcs:who/WHOSIS_000006,dcid:country/CAF,2006,22.77
dcs:who/WHOSIS_000006,dcid:country/CAF,1994,3.0
dcs:who/WHOSIS_000006,dcid:country/CAF,2014,28.8
dcs:who/WHOSIS_000006,dcid:country/CAF,2019,36.15
dcs:who/WHOSIS_000006,dcid:country/CAF,2010,32.98
dcs:who/WHOSIS_000006,dcid:country/CAF,2000,16.48
dcs:who/WHOSIS_000006,dcid:country/CAF,2018,38.81
dcs:who/WHOSIS_000006,dcid:country/CHN,2008,27.6
dcs:who/WHOSIS_000006,dcid:country/CHN,2013,20.8
dcs:who/WHOSIS_000006,dcid:country/CIV,2012,11.8
dcs:who/WHOSIS_000006,dcid:country/CIV,1994,3.0
dcs:who/WHOSIS_000006,dcid:country/CIV,2004,5.4
dcs:who/WHOSIS_000006,dcid:country/CIV,2000,8.54
dcs:who/WHOSIS_000006,dcid:country/CIV,2016,23.13
dcs:who/WHOSIS_000006,dcid:country/CIV,2006,4.19
dcs:who/WHOSIS_000006,dcid:country/CIV,1998,3.5
dcs:who/WHOSIS_000006,dcid:country/CMR,2011,19.95
dcs:who/WHOSIS_000006,dcid:country/CMR,2018,39.41
dcs:who/WHOSIS_000006,dcid:country/CMR,2006,21.11
dcs:who/WHOSIS_000006,dcid:country/CMR,2014,28.03
dcs:who/WHOSIS_000006,dcid:country/CMR,2004,20.99
dcs:who/WHOSIS_000006,dcid:country/CMR,1991,8.4
dcs:who/WHOSIS_000006,dcid:country/CMR,1998,12.2
dcs:who/WHOSIS_000006,dcid:country/COD,2001,23.82
dcs:who/WHOSIS_000006,dcid:country/COD,2013,47.34
dcs:who/WHOSIS_000006,dcid:country/COD,1995,23.8
dcs:who/WHOSIS_000006,dcid:country/COD,2007,35.79
dcs:who/WHOSIS_000006,dcid:country/COD,2017,53.61
dcs:who/WHOSIS_000006,dcid:country/COD,2010,36.38
dcs:who/WHOSIS_000006,dcid:country/COG,2014,32.86
dcs:who/WHOSIS_000006,dcid:country/COG,2005,19.1
dcs:who/WHOSIS_000006,dcid:country/COG,2011,20.15
dcs:who/WHOSIS_000006,dcid:country/COL,2000,25.12
dcs:who/WHOSIS_000006,dcid:country/COL,2016,36.67
dcs:who/WHOSIS_000006,dcid:country/COL,1990,13.4
dcs:who/WHOSIS_000006,dcid:country/COL,2005,46.8
dcs:who/WHOSIS_000006,dcid:country/COL,1986,15.6
dcs:who/WHOSIS_000006,dcid:country/COL,1995,11.5
dcs:who/WHOSIS_000006,dcid:country/COL,2010,42.9
dcs:who/WHOSIS_000006,dcid:country/COM,1996,3.2
dcs:who/WHOSIS_000006,dcid:country/COM,2000,10.19
dcs:who/WHOSIS_000006,dcid:country/COM,2012,11.43
dcs:who/WHOSIS_000006,dcid:country/CPV,2005,59.6
dcs:who/WHOSIS_000006,dcid:country/CPV,1998,38.9
dcs:who/WHOSIS_000006,dcid:country/CRI,2011,32.54
dcs:who/WHOSIS_000006,dcid:country/CRI,2018,25.29
dcs:who/WHOSIS_000006,dcid:country/CUB,2006,26.36
dcs:who/WHOSIS_000006,dcid:country/CUB,2010,48.58
dcs:who/WHOSIS_000006,dcid:country/CUB,2000,41.2
dcs:who/WHOSIS_000006,dcid:country/CUB,2019,40.65
dcs:who/WHOSIS_000006,dcid:country/CUB,2014,32.83
dcs:who/WHOSIS_000006,dcid:country/DJI,2012,12.4
dcs:who/WHOSIS_000006,dcid:country/DOM,2007,7.14
dcs:who/WHOSIS_000006,dcid:country/DOM,2000,11.04
dcs:who/WHOSIS_000006,dcid:country/DOM,2006,4.1
dcs:who/WHOSIS_000006,dcid:country/DOM,1999,15.1
dcs:who/WHOSIS_000006,dcid:country/DOM,2010,8.0
dcs:who/WHOSIS_000006,dcid:country/DOM,1991,11.2
dcs:who/WHOSIS_000006,dcid:country/DOM,2002,9.94
dcs:who/WHOSIS_000006,dcid:country/DOM,2014,4.56
dcs:who/WHOSIS_000006,dcid:country/DOM,1996,18.0
dcs:who/WHOSIS_000006,dcid:country/DOM,2013,6.75
dcs:who/WHOSIS_000006,dcid:country/DOM,1986,11.1
dcs:who/WHOSIS_000006,dcid:country/DZA,2012,25.39
dcs:who/WHOSIS_000006,dcid:country/DZA,2019,28.63
dcs:who/WHOSIS_000006,dcid:country/DZA,2006,6.9
dcs:who/WHOSIS_000006,dcid:country/DZA,2000,12.6
dcs:who/WHOSIS_000006,dcid:country/ECU,1999,34.8
dcs:who/WHOSIS_000006,dcid:country/ECU,1994,28.6
dcs:who/WHOSIS_000006,dcid:country/ECU,1987,25.9
dcs:who/WHOSIS_000006,dcid:country/ECU,2004,39.6
dcs:who/WHOSIS_000006,dcid:country/EGY,2005,41.13
dcs:who/WHOSIS_000006,dcid:country/EGY,1992,61.4
dcs:who/WHOSIS_000006,dcid:country/EGY,2014,39.54
dcs:who/WHOSIS_000006,dcid:country/EGY,2008,52.83
dcs:who/WHOSIS_000006,dcid:country/EGY,1995,56.3
dcs:who/WHOSIS_000006,dcid:country/EGY,2000,56.06
dcs:who/WHOSIS_000006,dcid:country/EGY,2003,30.4
dcs:who/WHOSIS_000006,dcid:country/ERI,1995,58.9
dcs:who/WHOSIS_000006,dcid:country/ERI,2002,52.0
dcs:who/WHOSIS_000006,dcid:country/ERI,2010,68.7
dcs:who/WHOSIS_000006,dcid:country/ETH,2019,58.81
dcs:who/WHOSIS_000006,dcid:country/ETH,2000,54.12
dcs:who/WHOSIS_000006,dcid:country/ETH,2016,56.52
dcs:who/WHOSIS_000006,dcid:country/ETH,2011,51.96
dcs:who/WHOSIS_000006,dcid:country/ETH,2005,48.76
dcs:who/WHOSIS_000006,dcid:country/FJI,2004,39.8
dcs:who/WHOSIS_000006,dcid:country/GAB,2012,5.08
dcs:who/WHOSIS_000006,dcid:country/GAB,2000,5.4
dcs:who/WHOSIS_000006,dcid:country/GEO,2009,54.8
dcs:who/WHOSIS_000006,dcid:country/GEO,2005,11.84
dcs:who/WHOSIS_000006,dcid:country/GEO,2018,20.38
dcs:who/WHOSIS_000006,dcid:country/GHA,2014,52.09
dcs:who/WHOSIS_000006,dcid:country/GHA,1988,2.2
dcs:who/WHOSIS_000006,dcid:country/GHA,2006,54.94
dcs:who/WHOSIS_000006,dcid:country/GHA,1993,7.4
dcs:who/WHOSIS_000006,dcid:country/GHA,1998,31.5
dcs:who/WHOSIS_000006,dcid:country/GHA,2008,62.1
dcs:who/WHOSIS_000006,dcid:country/GHA,2017,42.9
dcs:who/WHOSIS_000006,dcid:country/GHA,2003,52.96
dcs:who/WHOSIS_000006,dcid:country/GHA,2011,45.66
dcs:who/WHOSIS_000006,dcid:country/GIN,2018,33.43
dcs:who/WHOSIS_000006,dcid:country/GIN,2003,22.8
dcs:who/WHOSIS_000006,dcid:country/GIN,2012,20.38
dcs:who/WHOSIS_000006,dcid:country/GIN,2016,34.19
dcs:who/WHOSIS_000006,dcid:country/GIN,2005,27.0
dcs:who/WHOSIS_000006,dcid:country/GIN,1999,11.2
dcs:who/WHOSIS_000006,dcid:country/GMB,2006,39.69
dcs:who/WHOSIS_000006,dcid:country/GMB,2013,46.78
dcs:who/WHOSIS_000006,dcid:country/GMB,2018,53.29
dcs:who/WHOSIS_000006,dcid:country/GMB,2000,24.58
dcs:who/WHOSIS_000006,dcid:country/GMB,2010,33.17
dcs:who/WHOSIS_000006,dcid:country/GMB,2020,53.63
dcs:who/WHOSIS_000006,dcid:country/GNB,2019,59.35
dcs:who/WHOSIS_000006,dcid:country/GNB,2006,15.45
dcs:who/WHOSIS_000006,dcid:country/GNB,2014,52.54
dcs:who/WHOSIS_000006,dcid:country/GNB,2000,27.53
dcs:who/WHOSIS_000006,dcid:country/GNB,2010,38.3
