SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WHS3_57,dcid:Earth,1998,130569.0
dcs:who/WHS3_57,dcid:Earth,2023,35468.0
dcs:who/WHS3_57,dcid:Earth,2004,308213.0
dcs:who/WHS3_57,dcid:Earth,2022,17982.0
dcs:who/WHS3_57,dcid:Earth,2003,317415.0
dcs:who/WHS3_57,dcid:Earth,1999,875116.0
dcs:who/WHS3_57,dcid:Earth,1997,125056.0
dcs:who/WHS3_57,dcid:Earth,2002,639747.0
dcs:who/WHS3_57,dcid:Earth,2020,10363.0
dcs:who/WHS3_57,dcid:Earth,2001,836332.0
dcs:who/WHS3_57,dcid:Earth,2021,10029.0
dcs:who/WHS3_57,dcid:Earth,2018,26033.0
dcs:who/WHS3_57,dcid:Earth,2019,49180.0
dcs:who/WHS3_57,dcid:Earth,2007,196501.0
dcs:who/WHS3_57,dcid:Earth,2008,181029.0
dcs:who/WHS3_57,dcid:Earth,2017,14756.0
dcs:who/WHS3_57,dcid:Earth,2011,114456.0
dcs:who/WHS3_57,dcid:Earth,2010,75961.0
dcs:who/WHS3_57,dcid:Earth,2014,33516.0
dcs:who/WHS3_57,dcid:Earth,2012,94277.0
dcs:who/WHS3_57,dcid:Earth,2009,121378.0
dcs:who/WHS3_57,dcid:Earth,2015,23760.0
dcs:who/WHS3_57,dcid:Earth,2013,101156.0
dcs:who/WHS3_57,dcid:Earth,2006,250102.0
dcs:who/WHS3_57,dcid:Earth,2000,670894.0
dcs:who/WHS3_57,dcid:Earth,2005,267983.0
dcs:who/WHS3_57,dcid:Earth,2016,23419.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2002,1187.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2012,6877.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2000,1165.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2010,15275.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2019,4537.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2023,3773.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2011,9810.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,1999,5093.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2021,2103.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2018,4533.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2009,17208.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2016,10361.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2014,9690.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2017,4386.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2006,4135.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2008,7436.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2020,1514.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2007,14073.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2013,10434.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2015,6515.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2005,9834.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2001,983.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2022,3728.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2003,1475.0
dcs:who/WHS3_57,dcid:SouthEasternAsia,2004,1231.0
dcs:who/WHS3_57,dcid:africa,2009,17422.0
dcs:who/WHS3_57,dcid:africa,2019,6027.0
dcs:who/WHS3_57,dcid:africa,2010,2754.0
dcs:who/WHS3_57,dcid:africa,2006,2457.0
dcs:who/WHS3_57,dcid:africa,2003,4835.0
dcs:who/WHS3_57,dcid:africa,2014,7402.0
dcs:who/WHS3_57,dcid:africa,2008,16297.0
dcs:who/WHS3_57,dcid:africa,2022,10361.0
dcs:who/WHS3_57,dcid:africa,2020,4887.0
dcs:who/WHS3_57,dcid:africa,2001,1572.0
dcs:who/WHS3_57,dcid:africa,2013,13739.0
dcs:who/WHS3_57,dcid:africa,2012,10850.0
dcs:who/WHS3_57,dcid:africa,2017,6166.0
dcs:who/WHS3_57,dcid:africa,2015,5302.0
