SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_10,dcid:country/AFG,2019,4121.0
dcs:who/WSH_10.SEX--F,dcid:country/AFG,2019,1943.0
dcs:who/WSH_10.SEX--M,dcid:country/AFG,2019,2179.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/AFG,2019,3854.0
dcs:who/WSH_10,dcid:country/AGO,2019,11244.0
dcs:who/WSH_10.SEX--F,dcid:country/AGO,2019,5005.0
dcs:who/WSH_10.SEX--M,dcid:country/AGO,2019,6239.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/AGO,2019,5971.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/ALB,2019,1.0
dcs:who/WSH_10,dcid:country/ALB,2019,4.0
dcs:who/WSH_10.SEX--F,dcid:country/ALB,2019,3.0
dcs:who/WSH_10.SEX--M,dcid:country/ALB,2019,2.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/ARE,2019,1.0
dcs:who/WSH_10,dcid:country/ARE,2019,16.0
dcs:who/WSH_10.SEX--F,dcid:country/ARE,2019,5.0
dcs:who/WSH_10.SEX--M,dcid:country/ARE,2019,11.0
dcs:who/WSH_10,dcid:country/ARG,2019,279.0
dcs:who/WSH_10.SEX--F,dcid:country/ARG,2019,163.0
dcs:who/WSH_10.SEX--M,dcid:country/ARG,2019,116.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/ARG,2019,27.0
dcs:who/WSH_10,dcid:country/ARM,2019,5.0
dcs:who/WSH_10.SEX--F,dcid:country/ARM,2019,2.0
dcs:who/WSH_10.SEX--M,dcid:country/ARM,2019,2.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/ARM,2019,3.0
dcs:who/WSH_10.SEX--M,dcid:country/ATG,2019,0.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/ATG,2019,0.0
dcs:who/WSH_10,dcid:country/ATG,2019,0.0
dcs:who/WSH_10.SEX--F,dcid:country/ATG,2019,0.0
dcs:who/WSH_10,dcid:country/AUS,2019,52.0
dcs:who/WSH_10.SEX--F,dcid:country/AUS,2019,31.0
dcs:who/WSH_10.SEX--M,dcid:country/AUS,2019,21.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/AUS,2019,1.0
dcs:who/WSH_10.AGE--Y0T4,dcid:country/AUT,2019,0.0
dcs:who/WSH_10,dcid:country/AUT,2019,27.0
dcs:who/WSH_10.SEX--F,dcid:country/AUT,2019,16.0
