SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_10_SAN,dcid:country/AFG,2019,2303.88135
dcs:who/WSH_10_SAN.SEX--F,dcid:country/AFG,2019,1085.97925
dcs:who/WSH_10_SAN.SEX--M,dcid:country/AFG,2019,1217.90222
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/AFG,2019,2154.54883
dcs:who/WSH_10_SAN,dcid:country/AGO,2019,6048.11133
dcs:who/WSH_10_SAN.SEX--F,dcid:country/AGO,2019,2692.03223
dcs:who/WSH_10_SAN.SEX--M,dcid:country/AGO,2019,3356.07886
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/AGO,2019,3211.66675
dcs:who/WSH_10_SAN.SEX--F,dcid:country/ALB,2019,0.63692
dcs:who/WSH_10_SAN.SEX--M,dcid:country/ALB,2019,0.44049
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/ALB,2019,0.20098
dcs:who/WSH_10_SAN,dcid:country/ALB,2019,1.07741
dcs:who/WSH_10_SAN,dcid:country/ARG,2019,105.82756
dcs:who/WSH_10_SAN.SEX--F,dcid:country/ARG,2019,61.99819
dcs:who/WSH_10_SAN.SEX--M,dcid:country/ARG,2019,43.82938
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/ARG,2019,10.06967
dcs:who/WSH_10_SAN.SEX--F,dcid:country/ARM,2019,0.69381
dcs:who/WSH_10_SAN.SEX--M,dcid:country/ARM,2019,0.68393
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/ARM,2019,0.99079
dcs:who/WSH_10_SAN,dcid:country/ARM,2019,1.37774
dcs:who/WSH_10_SAN,dcid:country/AZE,2019,63.46494
dcs:who/WSH_10_SAN.SEX--F,dcid:country/AZE,2019,25.75167
dcs:who/WSH_10_SAN.SEX--M,dcid:country/AZE,2019,37.71328
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/AZE,2019,56.13302
dcs:who/WSH_10_SAN,dcid:country/BDI,2019,2518.98926
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BDI,2019,1105.28003
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BDI,2019,1413.70947
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BDI,2019,824.72339
dcs:who/WSH_10_SAN,dcid:country/BEN,2019,3106.16699
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BEN,2019,1402.01038
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BEN,2019,1704.15637
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BEN,2019,1515.76025
dcs:who/WSH_10_SAN,dcid:country/BFA,2019,5295.604
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BFA,2019,2539.94898
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BFA,2019,2755.65479
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BFA,2019,2300.42529
dcs:who/WSH_10_SAN,dcid:country/BGD,2019,14299.30078
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BGD,2019,8708.40039
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BGD,2019,5590.90137
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BGD,2019,1655.41016
dcs:who/WSH_10_SAN,dcid:country/BGR,2019,4.15746
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BGR,2019,2.05897
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BGR,2019,2.09849
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BGR,2019,1.604
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BIH,2019,0.66805
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BIH,2019,0.25753
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BIH,2019,0.78697
dcs:who/WSH_10_SAN,dcid:country/BIH,2019,1.45502
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BLR,2019,1.00086
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BLR,2019,0.61771
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BLR,2019,0.26787
dcs:who/WSH_10_SAN,dcid:country/BLR,2019,1.61857
dcs:who/WSH_10_SAN.AGE--Y0T4,dcid:country/BLZ,2019,0.67113
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BLZ,2019,1.27562
dcs:who/WSH_10_SAN,dcid:country/BLZ,2019,2.9008
dcs:who/WSH_10_SAN.SEX--M,dcid:country/BLZ,2019,1.62518
dcs:who/WSH_10_SAN,dcid:country/BOL,2019,279.42828
dcs:who/WSH_10_SAN.SEX--F,dcid:country/BOL,2019,159.11642
