SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_20_HYG,dcid:country/AFG,2019,0.26
dcs:who/WSH_20_HYG,dcid:country/AGO,2019,0.28
dcs:who/WSH_20_HYG,dcid:country/ALB,2019,0.25
dcs:who/WSH_20_HYG,dcid:country/ARE,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/ARG,2019,0.22
dcs:who/WSH_20_HYG,dcid:country/ARM,2019,0.25
dcs:who/WSH_20_HYG,dcid:country/ATG,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/AUS,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/AUT,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/AZE,2019,0.25
dcs:who/WSH_20_HYG,dcid:country/BDI,2019,0.28
dcs:who/WSH_20_HYG,dcid:country/BEL,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/BEN,2019,0.29
dcs:who/WSH_20_HYG,dcid:country/BFA,2019,0.29
dcs:who/WSH_20_HYG,dcid:country/BGD,2019,0.25
dcs:who/WSH_20_HYG,dcid:country/BGR,2019,0.25
dcs:who/WSH_20_HYG,dcid:country/BHR,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/BHS,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/BIH,2019,0.24
dcs:who/WSH_20_HYG,dcid:country/BLR,2019,0.24
dcs:who/WSH_20_HYG,dcid:country/BLZ,2019,0.21
dcs:who/WSH_20_HYG,dcid:country/BOL,2019,0.24
dcs:who/WSH_20_HYG,dcid:country/BRA,2019,0.22
dcs:who/WSH_20_HYG,dcid:country/BRB,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/BRN,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/BTN,2019,0.23
dcs:who/WSH_20_HYG,dcid:country/BWA,2019,0.28
dcs:who/WSH_20_HYG,dcid:country/CAF,2019,0.28
dcs:who/WSH_20_HYG,dcid:country/CAN,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/CHE,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/CHL,2019,0.18
dcs:who/WSH_20_HYG,dcid:country/CHN,2019,0.26
dcs:who/WSH_20_HYG,dcid:country/CIV,2019,0.28
dcs:who/WSH_20_HYG,dcid:country/CMR,2019,0.28
dcs:who/WSH_20_HYG,dcid:country/COD,2019,0.28
