SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_20_WAT,dcid:country/AFG,2019,0.4046
dcs:who/WSH_20_WAT,dcid:country/AGO,2019,0.39756
dcs:who/WSH_20_WAT,dcid:country/ALB,2019,0.22943
dcs:who/WSH_20_WAT,dcid:country/ARG,2019,0.18674
dcs:who/WSH_20_WAT,dcid:country/ARM,2019,0.19777
dcs:who/WSH_20_WAT,dcid:country/AZE,2019,0.03135
dcs:who/WSH_20_WAT,dcid:country/BDI,2019,0.44096
dcs:who/WSH_20_WAT,dcid:country/BEN,2019,0.43935
dcs:who/WSH_20_WAT,dcid:country/BFA,2019,0.4597
dcs:who/WSH_20_WAT,dcid:country/BGD,2019,0.35445
dcs:who/WSH_20_WAT,dcid:country/BGR,2019,0.08916
dcs:who/WSH_20_WAT,dcid:country/BIH,2019,0.20466
dcs:who/WSH_20_WAT,dcid:country/BLR,2019,0.06018
dcs:who/WSH_20_WAT,dcid:country/BLZ,2019,0.26336
dcs:who/WSH_20_WAT,dcid:country/BOL,2019,0.23166
dcs:who/WSH_20_WAT,dcid:country/BRA,2019,0.13177
dcs:who/WSH_20_WAT,dcid:country/BTN,2019,0.13807
dcs:who/WSH_20_WAT,dcid:country/BWA,2019,0.25683
dcs:who/WSH_20_WAT,dcid:country/CAF,2019,0.46652
dcs:who/WSH_20_WAT,dcid:country/CHN,2019,0.15816
dcs:who/WSH_20_WAT,dcid:country/CIV,2019,0.39997
dcs:who/WSH_20_WAT,dcid:country/CMR,2019,0.41944
dcs:who/WSH_20_WAT,dcid:country/COD,2019,0.46277
dcs:who/WSH_20_WAT,dcid:country/COG,2019,0.39709
dcs:who/WSH_20_WAT,dcid:country/COL,2019,0.19161
dcs:who/WSH_20_WAT,dcid:country/COM,2019,0.37077
dcs:who/WSH_20_WAT,dcid:country/CPV,2019,0.37629
dcs:who/WSH_20_WAT,dcid:country/CRI,2019,0.15411
dcs:who/WSH_20_WAT,dcid:country/CUB,2019,0.17467
dcs:who/WSH_20_WAT,dcid:country/DJI,2019,0.39773
dcs:who/WSH_20_WAT,dcid:country/DOM,2019,0.31611
