SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:AustraliaAndNewZealand,2022,92.22244
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:AustraliaAndNewZealand,2020,78.83994
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:Caribbean,2022,36.25454
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:CentralAmerica,2022,61.28587
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:CentralAsia,2022,31.76943
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:CentralAsia,2020,31.9239
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:ChannelIslands,2020,91.32912
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:Earth,2022,57.79183
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:Earth,2020,55.50296
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:EasternAfrica,2022,9.50767
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:EasternAsia,2022,67.84066
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:EasternAsia,2020,70.19569
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:EasternEurope,2022,40.29224
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:LatinAmericaAndCaribbean,2022,45.91679
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:LatinAmericaAndCaribbean,2020,40.84037
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:Melanesia,2022,10.54852
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:NorthernAfrica,2022,67.54338
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:NorthernAfrica,2020,47.96028
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:NorthernEurope,2022,91.06702
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:Polynesia,2022,43.40292
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:SouthEasternAsia,2022,47.66695
dcs:who/WSH_DOMESTIC_WASTE_SAFELY_TREATED,dcid:SouthEasternAsia,2020,29.12761
