SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2019,77.42785
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,66.61175
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2003,80.06878
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2021,68.70943
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2021,79.83035
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2002,79.73074
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2001,79.42384
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2007,63.44571
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2006,62.22552
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2020,87.85407
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2001,56.30305
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2009,48.48935
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2004,80.42812
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2005,61.01864
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2005,80.81679
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2003,38.8806
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2004,40.40906
dcs:who/WSH_SANITATION_BASIC,dcid:Earth,2012,69.38805
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2002,37.37079
dcs:who/WSH_SANITATION_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2006,43.57295
