SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_SANITATION_OD,dcid:Earth,2020,6.69456
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--RUR,dcid:Earth,2015,19.80912
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--RUR,dcid:Earth,2021,12.06688
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,24.65916
dcs:who/WSH_SANITATION_OD,dcid:Earth,2015,10.27752
dcs:who/WSH_SANITATION_OD,dcid:Earth,2014,11.03017
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2009,3.16683
dcs:who/WSH_SANITATION_OD,dcid:Earth,2013,11.7932
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2015,2.07477
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2020,1.12968
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2011,2.82436
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2019,1.30436
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2013,2.45456
dcs:who/WSH_SANITATION_OD,dcid:Earth,2016,9.51716
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2010,2.98592
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2016,1.88267
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2014,2.26583
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--URB,dcid:Earth,2018,1.48753
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--RUR,dcid:Earth,2016,18.55695
dcs:who/WSH_SANITATION_OD,dcid:Earth,2022,5.24923
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--RUR,dcid:Earth,2014,21.04139
dcs:who/WSH_SANITATION_OD,dcid:Earth,2010,13.99159
dcs:who/WSH_SANITATION_OD.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,23.46912
