SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2018,81.27283
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2014,78.62917
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2020,96.54879
dcs:who/WSH_WATER_BASIC,dcid:Earth,2017,89.193
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2019,96.48357
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2009,75.32386
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2012,95.91687
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2008,74.63661
dcs:who/WSH_WATER_BASIC,dcid:Earth,2008,85.2404
dcs:who/WSH_WATER_BASIC,dcid:Earth,2014,87.89352
dcs:who/WSH_WATER_BASIC,dcid:Earth,2022,91.18254
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2009,95.74439
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2011,95.84988
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2022,84.01771
dcs:who/WSH_WATER_BASIC,dcid:Earth,2015,88.3615
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2011,76.60451
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2018,96.40355
dcs:who/WSH_WATER_BASIC,dcid:Earth,2020,90.38289
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2016,96.23033
dcs:who/WSH_WATER_BASIC,dcid:Earth,2011,86.57294
dcs:who/WSH_WATER_BASIC,dcid:Earth,2016,88.78253
dcs:who/WSH_WATER_BASIC,dcid:Earth,2012,87.01813
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2019,81.91867
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2012,77.28352
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2016,79.95158
dcs:who/WSH_WATER_BASIC,dcid:Earth,2021,90.80476
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2022,96.64703
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2015,96.15105
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2013,77.95977
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2017,96.31499
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2020,82.5515
dcs:who/WSH_WATER_BASIC,dcid:Earth,2010,86.183
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--RUR,dcid:Earth,2010,76.00963
dcs:who/WSH_WATER_BASIC,dcid:Earth,2018,89.60557
dcs:who/WSH_WATER_BASIC.RESIDENCEAREATYPE--URB,dcid:Earth,2021,96.60986
