SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/AFG,2017,4.8
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/AFG,2017,3.3
dcs:who/Yth_curr_smokeless,dcid:country/AFG,2017,4.1
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/AGO,2010,19.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/AGO,2010,18.0
dcs:who/Yth_curr_smokeless,dcid:country/AGO,2010,18.7
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/ALB,2020,2.1
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/ALB,2020,2.9
dcs:who/Yth_curr_smokeless,dcid:country/ALB,2020,2.7
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/ARE,2013,4.1
dcs:who/Yth_curr_smokeless,dcid:country/ARE,2013,3.4
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/ARE,2013,2.6
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/ARG,2018,2.3
dcs:who/Yth_curr_smokeless,dcid:country/ARG,2018,1.5
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/ARG,2018,0.8
dcs:who/Yth_curr_smokeless,dcid:country/ARM,2009,4.4
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/ARM,2009,3.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/ARM,2009,6.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/ATG,2017,2.6
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/ATG,2017,1.6
dcs:who/Yth_curr_smokeless,dcid:country/ATG,2017,2.1
dcs:who/Yth_curr_smokeless,dcid:country/AZE,2016,1.8
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/AZE,2016,2.4
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/AZE,2016,1.1
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BFA,2009,9.2
dcs:who/Yth_curr_smokeless,dcid:country/BFA,2009,10.2
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BFA,2009,11.2
dcs:who/Yth_curr_smokeless,dcid:country/BGD,2013,4.5
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BGD,2013,5.9
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BGD,2013,2.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BHR,2015,5.2
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BHR,2015,2.2
dcs:who/Yth_curr_smokeless,dcid:country/BHR,2015,3.7
dcs:who/Yth_curr_smokeless,dcid:country/BHS,2013,2.8
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BHS,2013,1.6
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BHS,2013,4.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BIH,2019,2.2
dcs:who/Yth_curr_smokeless,dcid:country/BIH,2019,1.7
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BIH,2019,1.3
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BLR,2021,1.5
dcs:who/Yth_curr_smokeless,dcid:country/BLR,2021,1.7
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BLR,2021,1.7
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BLZ,2014,2.9
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BLZ,2014,1.7
dcs:who/Yth_curr_smokeless,dcid:country/BLZ,2014,2.3
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BOL,2018,3.6
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BOL,2018,2.0
dcs:who/Yth_curr_smokeless,dcid:country/BOL,2018,2.8
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BRB,2013,3.0
dcs:who/Yth_curr_smokeless,dcid:country/BRB,2013,2.9
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BRB,2013,2.9
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BRN,2019,2.1
dcs:who/Yth_curr_smokeless,dcid:country/BRN,2019,1.2
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BRN,2019,0.3
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BTN,2019,17.0
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BTN,2019,8.1
dcs:who/Yth_curr_smokeless,dcid:country/BTN,2019,12.5
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/BWA,2008,11.3
dcs:who/Yth_curr_smokeless,dcid:country/BWA,2008,11.3
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/BWA,2008,11.4
dcs:who/Yth_curr_smokeless,dcid:country/CAF,2008,15.4
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CAF,2008,21.9
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CAF,2008,8.0
dcs:who/Yth_curr_smokeless,dcid:country/CAN,2019,0.6
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CAN,2019,0.8
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CAN,2019,0.5
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CHE,2022,11.2
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CHE,2022,19.4
dcs:who/Yth_curr_smokeless,dcid:country/CHE,2022,15.2
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CIV,2009,6.2
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CIV,2009,4.9
dcs:who/Yth_curr_smokeless,dcid:country/CIV,2009,5.6
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CMR,2014,2.3
dcs:who/Yth_curr_smokeless,dcid:country/CMR,2014,3.7
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CMR,2014,5.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/COG,2019,7.9
dcs:who/Yth_curr_smokeless,dcid:country/COG,2019,7.5
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/COG,2019,6.7
dcs:who/Yth_curr_smokeless,dcid:country/COK,2016,3.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/COK,2016,3.8
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/COK,2016,2.4
dcs:who/Yth_curr_smokeless,dcid:country/COL,2017,3.9
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/COL,2017,3.5
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/COL,2017,4.2
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/COM,2015,3.6
dcs:who/Yth_curr_smokeless,dcid:country/COM,2015,2.7
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/COM,2015,2.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CRI,2013,1.7
dcs:who/Yth_curr_smokeless,dcid:country/CRI,2013,1.6
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CRI,2013,1.6
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/CUB,2018,1.9
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/CUB,2018,2.6
dcs:who/Yth_curr_smokeless,dcid:country/CUB,2018,2.3
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/DJI,2013,4.0
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/DJI,2013,8.1
dcs:who/Yth_curr_smokeless,dcid:country/DJI,2013,6.2
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/DMA,2009,10.2
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/DMA,2009,6.4
dcs:who/Yth_curr_smokeless,dcid:country/DMA,2009,8.4
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/DOM,2016,4.2
dcs:who/Yth_curr_smokeless,dcid:country/DOM,2016,3.1
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/DOM,2016,2.3
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/DZA,2013,6.9
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/DZA,2013,0.8
dcs:who/Yth_curr_smokeless,dcid:country/DZA,2013,3.5
dcs:who/Yth_curr_smokeless.SEX--M,dcid:country/ECU,2016,2.5
dcs:who/Yth_curr_smokeless.SEX--F,dcid:country/ECU,2016,1.8
