SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_curr_tob_use,dcid:country/AFG,2017,8.3
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/AFG,2017,5.6
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/AFG,2017,10.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/AGO,2010,18.6
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/AGO,2010,20.2
dcs:who/Yth_curr_tob_use,dcid:country/AGO,2010,19.8
dcs:who/Yth_curr_tob_use,dcid:country/ALB,2020,15.3
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ALB,2020,9.9
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ALB,2020,20.2
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ARE,2016,17.8
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ARE,2016,7.7
dcs:who/Yth_curr_tob_use,dcid:country/ARE,2016,12.7
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ARG,2018,18.7
dcs:who/Yth_curr_tob_use,dcid:country/ARG,2018,20.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ARG,2018,21.4
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ATG,2017,7.0
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ATG,2017,7.9
dcs:who/Yth_curr_tob_use,dcid:country/ATG,2017,7.5
dcs:who/Yth_curr_tob_use,dcid:country/BDI,2008,19.3
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BDI,2008,20.7
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BDI,2008,16.8
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BEN,2016,2.0
dcs:who/Yth_curr_tob_use,dcid:country/BEN,2016,5.3
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BEN,2016,7.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BFA,2009,11.5
dcs:who/Yth_curr_tob_use,dcid:country/BFA,2009,16.8
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BFA,2009,22.6
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BGD,2014,2.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BGD,2014,13.2
dcs:who/Yth_curr_tob_use,dcid:country/BGD,2014,9.2
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BHR,2016,26.5
dcs:who/Yth_curr_tob_use,dcid:country/BHR,2016,18.7
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BHR,2016,10.2
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BHS,2013,16.1
dcs:who/Yth_curr_tob_use,dcid:country/BHS,2013,12.6
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BHS,2013,8.4
dcs:who/Yth_curr_tob_use,dcid:country/BIH,2019,24.4
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BIH,2019,27.7
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BIH,2019,21.1
dcs:who/Yth_curr_tob_use,dcid:country/BLR,2021,8.4
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BLR,2021,7.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BLR,2021,9.6
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BLZ,2014,16.6
dcs:who/Yth_curr_tob_use,dcid:country/BLZ,2014,12.3
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BLZ,2014,8.2
dcs:who/Yth_curr_tob_use,dcid:country/BOL,2018,10.9
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BOL,2018,13.6
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BOL,2018,8.1
dcs:who/Yth_curr_tob_use,dcid:country/BRB,2013,14.5
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BRB,2013,17.4
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BRB,2013,11.4
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BRN,2019,14.1
dcs:who/Yth_curr_tob_use,dcid:country/BRN,2019,9.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BRN,2019,3.9
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BTN,2019,31.2
dcs:who/Yth_curr_tob_use,dcid:country/BTN,2019,22.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BTN,2019,13.5
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/BWA,2008,20.5
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/BWA,2008,27.0
dcs:who/Yth_curr_tob_use,dcid:country/BWA,2008,23.6
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/CAF,2008,34.5
dcs:who/Yth_curr_tob_use,dcid:country/CAF,2008,32.4
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/CAF,2008,29.5
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/CAN,2019,9.0
dcs:who/Yth_curr_tob_use,dcid:country/CAN,2019,8.0
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/CAN,2019,7.0
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/CMR,2014,5.7
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/CMR,2014,13.8
dcs:who/Yth_curr_tob_use,dcid:country/CMR,2014,10.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/COG,2019,14.9
dcs:who/Yth_curr_tob_use,dcid:country/COG,2019,14.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/COG,2019,12.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/COK,2016,13.9
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/COK,2016,29.7
dcs:who/Yth_curr_tob_use,dcid:country/COK,2016,21.5
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/COL,2017,19.6
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/COL,2017,20.6
dcs:who/Yth_curr_tob_use,dcid:country/COL,2017,20.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/COM,2015,7.7
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/COM,2015,15.9
dcs:who/Yth_curr_tob_use,dcid:country/COM,2015,11.5
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/CUB,2018,9.7
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/CUB,2018,13.0
dcs:who/Yth_curr_tob_use,dcid:country/CUB,2018,11.5
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/DJI,2013,11.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/DJI,2013,17.8
dcs:who/Yth_curr_tob_use,dcid:country/DJI,2013,15.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/DMA,2009,19.8
dcs:who/Yth_curr_tob_use,dcid:country/DMA,2009,25.3
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/DMA,2009,30.4
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/DOM,2016,8.3
dcs:who/Yth_curr_tob_use,dcid:country/DOM,2016,7.4
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/DOM,2016,6.0
dcs:who/Yth_curr_tob_use,dcid:country/DZA,2013,9.0
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/DZA,2013,17.4
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/DZA,2013,2.6
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ECU,2016,10.7
dcs:who/Yth_curr_tob_use,dcid:country/ECU,2016,13.0
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ECU,2016,15.3
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/EGY,2014,8.2
dcs:who/Yth_curr_tob_use,dcid:country/EGY,2014,13.6
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/EGY,2014,18.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ERI,2006,7.8
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ERI,2006,4.6
dcs:who/Yth_curr_tob_use,dcid:country/ERI,2006,6.6
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/ETH,2003,5.8
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/ETH,2003,11.5
dcs:who/Yth_curr_tob_use,dcid:country/ETH,2003,8.9
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/FIN,2021,17.0
dcs:who/Yth_curr_tob_use,dcid:country/FIN,2021,15.0
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/FIN,2021,13.0
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/FJI,2016,6.5
dcs:who/Yth_curr_tob_use,dcid:country/FJI,2016,9.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/FJI,2016,11.8
dcs:who/Yth_curr_tob_use,dcid:country/FSM,2019,29.2
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/FSM,2019,34.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/FSM,2019,25.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GAB,2014,9.2
dcs:who/Yth_curr_tob_use,dcid:country/GAB,2014,9.2
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GAB,2014,8.8
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GHA,2017,8.1
dcs:who/Yth_curr_tob_use,dcid:country/GHA,2017,8.8
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GHA,2017,8.8
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GIN,2008,30.8
dcs:who/Yth_curr_tob_use,dcid:country/GIN,2008,26.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GIN,2008,20.0
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GMB,2017,5.0
dcs:who/Yth_curr_tob_use,dcid:country/GMB,2017,10.5
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GMB,2017,17.9
dcs:who/Yth_curr_tob_use,dcid:country/GNB,2008,10.9
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GNB,2008,10.3
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GNB,2008,11.5
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GNQ,2008,25.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GNQ,2008,17.3
dcs:who/Yth_curr_tob_use,dcid:country/GNQ,2008,22.1
dcs:who/Yth_curr_tob_use.SEX--F,dcid:country/GRD,2016,7.1
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GRD,2016,12.5
dcs:who/Yth_curr_tob_use,dcid:country/GRD,2016,9.7
dcs:who/Yth_curr_tob_use.SEX--M,dcid:country/GTM,2015,19.5
