SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_daily_e-cig,dcid:country/AUT,2019,2.0
dcs:who/Yth_daily_e-cig,dcid:country/CAN,2019,2.0
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/CAN,2019,2.0
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/CAN,2019,3.0
dcs:who/Yth_daily_e-cig,dcid:country/COL,2017,0.4
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/COL,2017,0.5
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/COL,2017,0.4
dcs:who/Yth_daily_e-cig,dcid:country/CZE,2019,3.1
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/CZE,2019,1.3
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/CZE,2019,4.9
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/FIN,2021,3.4
dcs:who/Yth_daily_e-cig,dcid:country/FIN,2021,2.3
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/FIN,2021,1.1
dcs:who/Yth_daily_e-cig,dcid:country/FRA,2021,2.8
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/FRA,2021,2.7
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/FRA,2021,2.9
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/GEO,2019,3.2
dcs:who/Yth_daily_e-cig,dcid:country/GEO,2019,2.0
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/GEO,2019,1.0
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/HUN,2020,0.3
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/HUN,2020,0.5
dcs:who/Yth_daily_e-cig,dcid:country/HUN,2020,0.4
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/ISL,2020,7.0
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/ISL,2020,6.0
dcs:who/Yth_daily_e-cig,dcid:country/ISL,2020,6.0
dcs:who/Yth_daily_e-cig,dcid:country/JPN,2017,0.1
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/JPN,2017,0.1
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/JPN,2017,0.1
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/NZL,2019,3.7
dcs:who/Yth_daily_e-cig,dcid:country/NZL,2019,3.1
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/NZL,2019,2.4
dcs:who/Yth_daily_e-cig,dcid:country/PRT,2019,1.2
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/PRT,2019,1.6
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/PRT,2019,0.9
dcs:who/Yth_daily_e-cig.SEX--F,dcid:country/SVN,2019,0.3
dcs:who/Yth_daily_e-cig.SEX--M,dcid:country/SVN,2019,0.3
dcs:who/Yth_daily_e-cig,dcid:country/SVN,2019,0.3
