SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/CHL,2019,2.9
dcs:who/Yth_daily_tob_smoking,dcid:country/CHL,2019,3.0
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/CHL,2019,3.1
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/ESP,2021,9.2
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/ESP,2021,8.8
dcs:who/Yth_daily_tob_smoking,dcid:country/ESP,2021,9.0
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/FIN,2021,4.0
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/FIN,2021,6.0
dcs:who/Yth_daily_tob_smoking,dcid:country/FIN,2021,5.0
dcs:who/Yth_daily_tob_smoking,dcid:country/HUN,2020,3.0
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/HUN,2020,3.0
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/HUN,2020,3.0
dcs:who/Yth_daily_tob_smoking,dcid:country/ISL,2020,1.0
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/ISL,2020,1.0
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/ISL,2020,1.0
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/KAZ,2018,2.6
dcs:who/Yth_daily_tob_smoking,dcid:country/KAZ,2018,2.3
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/KAZ,2018,1.9
dcs:who/Yth_daily_tob_smoking,dcid:country/NZL,2019,2.1
dcs:who/Yth_daily_tob_smoking.SEX--M,dcid:country/NZL,2019,1.8
dcs:who/Yth_daily_tob_smoking.SEX--F,dcid:country/NZL,2019,2.2
