SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/asfr1,dcid:country/AFG,2015,39.70999
dcs:who/asfr1.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,83.12458
dcs:who/asfr1.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,93.80462
dcs:who/asfr1.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,73.06913
dcs:who/asfr1.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,93.4334
dcs:who/asfr1.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,92.34646
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,92.74623
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,102.37917
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,76.68178
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,80.41299
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,85.52078
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,91.97153
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,101.06586
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,85.30363
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,69.44829
dcs:who/asfr1.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,84.60812
dcs:who/asfr1.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,73.28174
dcs:who/asfr1.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,91.59499
dcs:who/asfr1.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,106.17123
dcs:who/asfr1.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,45.45982
dcs:who/asfr1.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,84.26647
dcs:who/asfr1,dcid:country/AGO,2015,203.5024
dcs:who/asfr1.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,258.4902
dcs:who/asfr1.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,201.96143
dcs:who/asfr1.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,73.01847
dcs:who/asfr1.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,226.29559
dcs:who/asfr1.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,122.35527
