SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/carep,dcid:country/AFG,2015,34.16429
dcs:who/carep,dcid:country/AFG,2010,45.02086
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,66.7657
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,52.82967
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,69.96675
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,56.34833
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,65.61782
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,65.52368
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,63.37153
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,59.43779
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,46.27175
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,65.6352
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,65.03825
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,66.23624
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,61.1874
dcs:who/carep.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,61.35371
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,53.18307
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,59.19841
dcs:who/carep.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,78.66989
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,60.49908
dcs:who/carep.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,71.96918
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,46.15995
dcs:who/carep.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,64.201
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,63.99298
dcs:who/carep.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,62.93212
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,65.34762
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,58.65756
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,43.37573
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,48.396
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,60.84638
dcs:who/carep.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,67.21564
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,65.18343
dcs:who/carep.SEX--M,dcid:country/AFG,2015,62.2769
dcs:who/carep.SEX--F,dcid:country/AFG,2010,58.98181
dcs:who/carep.SEX--M,dcid:country/AFG,2010,61.81234
dcs:who/carep.SEX--F,dcid:country/AFG,2015,60.3843
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,60.33273
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,65.14577
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2010,59.06097
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/AFG,2010,67.19459
dcs:who/carep.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,60.9645
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,66.13237
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,62.08168
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2010,68.76284
dcs:who/carep.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2010,59.41744
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2010,71.07822
dcs:who/carep.AGE--Y20T49,dcid:country/AFG,2015,61.76779
dcs:who/carep.AGE--Y15T19,dcid:country/AFG,2015,47.54625
dcs:who/carep,dcid:country/AGO,2015,72.89757
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,32.5199
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,84.80949
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,55.37888
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,56.0891
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,82.12746
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,29.63747
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,87.64224
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,55.54873
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,65.95743
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,55.20195
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,35.79744
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,44.99197
dcs:who/carep.SEX--F,dcid:country/AGO,2015,57.0584
dcs:who/carep.SEX--M,dcid:country/AGO,2015,60.15123
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,41.84919
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,69.65909
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,54.20318
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,75.52711
dcs:who/carep.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,50.40471
dcs:who/carep.AGE--Y20T49,dcid:country/AGO,2015,59.46436
dcs:who/carep.AGE--Y15T19,dcid:country/AGO,2015,51.48712
dcs:who/carep,dcid:country/ALB,2008,72.85495
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,87.05465
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,51.72352
dcs:who/carep.SEX--M,dcid:country/ALB,2017,80.81667
dcs:who/carep.SEX--F,dcid:country/ALB,2008,72.99948
dcs:who/carep.SEX--M,dcid:country/ALB,2008,67.06018
dcs:who/carep.SEX--F,dcid:country/ALB,2017,83.00864
dcs:who/carep.SEX--F,dcid:country/ALB,2005,61.31781
dcs:who/carep.SEX--M,dcid:country/ALB,2005,31.68955
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,72.5208
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,61.21675
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,86.37798
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,53.20107
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,74.47886
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,89.69023
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,64.47349
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2005,46.3838
dcs:who/carep.AGE--Y20T49,dcid:country/ALB,2017,81.32185
dcs:who/carep.AGE--Y20T49,dcid:country/ALB,2008,69.00576
dcs:who/carep,dcid:country/ARG,2019,98.1943
dcs:who/carep,dcid:country/ARG,2011,93.85813
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/ARG,2019,98.67106
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/ARG,2019,95.34814
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/ARG,2019,86.07079
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/ARG,2011,93.51984
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/ARG,2011,96.3723
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/ARG,2011,93.52127
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/ARG,2011,93.71822
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/ARG,2011,96.99677
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARG,2019,95.93388
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARG,2019,94.34549
dcs:who/carep.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARG,2011,90.39059
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARG,2011,91.96323
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARG,2011,96.40842
dcs:who/carep.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARG,2011,95.24072
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARG,2011,97.55929
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARG,2011,94.6387
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARG,2011,94.46809
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARG,2011,96.11766
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARG,2011,92.74218
dcs:who/carep.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARG,2011,99.03357
dcs:who/carep.SEX--M,dcid:country/ARG,2019,91.82454
dcs:who/carep.SEX--F,dcid:country/ARG,2019,93.31488
dcs:who/carep.SEX--F,dcid:country/ARG,2011,94.07465
dcs:who/carep.SEX--M,dcid:country/ARG,2011,94.86364
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/ARG,2011,94.52863
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/ARG,2019,88.49462
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/ARG,2019,94.23588
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/ARG,2011,92.21293
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/ARG,2011,95.1526
dcs:who/carep.SEX--M,dcid:country/ARM,2010,53.81082
dcs:who/carep.SEX--F,dcid:country/ARM,2010,59.68915
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/ARM,2010,56.74978
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/ARM,2015,91.65496
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/ARM,2010,56.78138
dcs:who/carep.AGE--Y20T49,dcid:country/ARM,2015,97.65297
dcs:who/carep.AGE--Y20T49,dcid:country/ARM,2010,56.39946
dcs:who/carep.SEX--M,dcid:country/AZE,2006,36.20526
dcs:who/carep.SEX--F,dcid:country/AZE,2006,24.42646
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2006,37.4411
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/AZE,2006,26.63063
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/AZE,2006,32.54391
dcs:who/carep.AGE--Y20T49,dcid:country/AZE,2006,30.81918
dcs:who/carep,dcid:country/BDI,2016,56.33175
dcs:who/carep,dcid:country/BDI,2010,60.44042
dcs:who/carep,dcid:country/BDI,2005,36.90252
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/BDI,2016,55.38424
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/BDI,2016,54.40832
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/BDI,2016,60.09952
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/BDI,2016,66.61423
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/BDI,2016,58.43623
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/BDI,2010,57.77444
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/BDI,2010,51.74498
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/BDI,2010,58.93074
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/BDI,2010,52.90054
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/BDI,2010,52.95042
dcs:who/carep.WEALTHQUINTILE--WQ1,dcid:country/BDI,2005,40.64764
dcs:who/carep.WEALTHQUINTILE--WQ5,dcid:country/BDI,2005,45.04768
dcs:who/carep.WEALTHQUINTILE--WQ3,dcid:country/BDI,2005,30.48322
dcs:who/carep.WEALTHQUINTILE--WQ4,dcid:country/BDI,2005,38.7069
dcs:who/carep.WEALTHQUINTILE--WQ2,dcid:country/BDI,2005,35.76719
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2016,49.83152
dcs:who/carep.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2016,67.88617
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2016,59.05745
dcs:who/carep.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2016,68.67603
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2016,64.93537
dcs:who/carep.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2016,55.89768
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2016,54.98433
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2016,55.82169
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2016,70.3858
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2016,50.01318
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2010,66.37597
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2010,50.93216
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2010,51.60128
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2010,52.79453
dcs:who/carep.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2010,53.03205
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2010,55.12266
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2010,49.15632
dcs:who/carep.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2010,70.14674
dcs:who/carep.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2010,50.78828
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2010,55.08387
dcs:who/carep.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2005,39.66119
dcs:who/carep.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2005,39.16706
dcs:who/carep.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2005,44.57823
dcs:who/carep.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2005,28.35504
dcs:who/carep.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2005,31.82125
dcs:who/carep.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2005,44.99873
dcs:who/carep.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2005,33.35338
dcs:who/carep.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2005,35.84933
dcs:who/carep.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2005,38.33367
dcs:who/carep.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2005,45.91328
dcs:who/carep.SEX--M,dcid:country/BDI,2016,62.3583
dcs:who/carep.SEX--F,dcid:country/BDI,2016,54.2828
dcs:who/carep.SEX--M,dcid:country/BDI,2005,36.3786
dcs:who/carep.SEX--F,dcid:country/BDI,2005,39.01261
dcs:who/carep.SEX--M,dcid:country/BDI,2010,55.87112
dcs:who/carep.SEX--F,dcid:country/BDI,2010,53.55471
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/BDI,2016,58.01523
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2016,58.5539
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/BDI,2010,59.99177
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2010,54.27417
dcs:who/carep.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2005,37.57788
dcs:who/carep.RESIDENCEAREATYPE--URB,dcid:country/BDI,2005,47.21577
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/BDI,2016,61.29748
dcs:who/carep.EDUCATIONLEVEL--NHLM,dcid:country/BDI,2016,58.8504
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/BDI,2016,57.69865
dcs:who/carep.EDUCATIONLEVEL--SHLM,dcid:country/BDI,2010,71.65517
dcs:who/carep.EDUCATIONLEVEL--NHLM,dcid:country/BDI,2010,52.12187
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/BDI,2010,56.50148
dcs:who/carep.EDUCATIONLEVEL--PRLM,dcid:country/BDI,2005,43.96005
dcs:who/carep.EDUCATIONLEVEL--NHLM,dcid:country/BDI,2005,34.75489
dcs:who/carep.AGE--Y20T49,dcid:country/BDI,2016,58.73176
dcs:who/carep.AGE--Y15T19,dcid:country/BDI,2010,61.68439
dcs:who/carep.AGE--Y20T49,dcid:country/BDI,2010,54.42411
dcs:who/carep,dcid:country/BEN,2017,69.27029
dcs:who/carep,dcid:country/BEN,2014,30.41267
