SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/cci,dcid:country/AFG,2015,51.18639
dcs:who/cci.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,52.75041
dcs:who/cci.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,43.42541
dcs:who/cci.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,39.18498
dcs:who/cci.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,60.54619
dcs:who/cci.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,43.32467
dcs:who/cci.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,48.8905
dcs:who/cci.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,56.20495
dcs:who/cci.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,41.91407
dcs:who/cci.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,36.56286
dcs:who/cci.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,44.9438
dcs:who/cci.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,57.69521
dcs:who/cci.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,41.70996
dcs:who/cci.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,63.57257
dcs:who/cci.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,43.19091
dcs:who/cci.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,43.67015
dcs:who/cci.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,57.52908
dcs:who/cci.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,44.82028
dcs:who/cci.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,45.47445
dcs:who/cci.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,61.41832
dcs:who/cci.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,55.84782
dcs:who/cci,dcid:country/AGO,2015,44.12646
dcs:who/cci.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,22.48339
dcs:who/cci.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,60.83815
dcs:who/cci.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,71.105
dcs:who/cci.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,32.19312
dcs:who/cci.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,46.76579
dcs:who/cci.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,74.5385
dcs:who/cci.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,49.46629
dcs:who/cci.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,59.38255
dcs:who/cci.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,37.15165
dcs:who/cci.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,68.31432
dcs:who/cci.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,22.55577
dcs:who/cci.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,22.48185
dcs:who/cci.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,62.10188
dcs:who/cci.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,27.04185
dcs:who/cci.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,44.0424
dcs:who/cci.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,27.00425
dcs:who/cci.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,56.12448
dcs:who/cci.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,28.73868
dcs:who/cci.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,64.40096
dcs:who/cci.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,40.49948
dcs:who/cci,dcid:country/ALB,2017,59.75065
dcs:who/cci,dcid:country/ALB,2008,57.01993
dcs:who/cci.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,56.25943
dcs:who/cci.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,62.40143
dcs:who/cci.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,61.73651
