SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/cpmt,dcid:country/AFG,2015,26.67844
dcs:who/cpmt,dcid:country/AFG,2010,12.93592
dcs:who/cpmt.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,17.44061
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,36.58227
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,17.53403
dcs:who/cpmt.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,15.75544
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,25.63745
dcs:who/cpmt.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,13.61133
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,37.2052
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,18.59816
dcs:who/cpmt.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,15.24525
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,22.55124
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,17.31547
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,16.92656
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,17.72466
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,14.5737
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,33.21646
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,17.34487
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,28.97623
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,40.03749
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,22.3454
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,17.55302
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,23.93629
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,41.85179
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,21.22904
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,16.33597
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,20.85366
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,17.7679
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,14.43247
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,32.50325
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,12.79433
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,12.90661
dcs:who/cpmt.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,18.70399
dcs:who/cpmt.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,34.88742
dcs:who/cpmt.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2010,17.81508
dcs:who/cpmt.RESIDENCEAREATYPE--URB,dcid:country/AFG,2010,38.00325
dcs:who/cpmt.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,20.92204
dcs:who/cpmt.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,33.20928
dcs:who/cpmt.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,27.0193
dcs:who/cpmt.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2010,37.68507
dcs:who/cpmt.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2010,19.92484
dcs:who/cpmt.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2010,27.21584
dcs:who/cpmt.AGE--Y20T49,dcid:country/AFG,2015,23.46341
dcs:who/cpmt.AGE--Y15T19,dcid:country/AFG,2015,7.7556
dcs:who/cpmt.AGE--Y20T49,dcid:country/AFG,2010,22.366
dcs:who/cpmt.AGE--Y15T19,dcid:country/AFG,2010,7.09319
dcs:who/cpmt,dcid:country/AGO,2015,22.12515
dcs:who/cpmt.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,1.32731
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,9.79752
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,32.59836
dcs:who/cpmt.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,3.3313
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,20.16784
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,6.9278
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,27.02685
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,1.02667
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,12.70277
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,22.15722
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,5.07637
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,1.63234
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,38.92203
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,1.56388
dcs:who/cpmt.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,18.13685
dcs:who/cpmt.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,19.8663
dcs:who/cpmt.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,2.29177
dcs:who/cpmt.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,29.00201
dcs:who/cpmt.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,2.71369
dcs:who/cpmt.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,8.13819
dcs:who/cpmt.AGE--Y15T19,dcid:country/AGO,2015,7.96176
dcs:who/cpmt.AGE--Y20T49,dcid:country/AGO,2015,14.15129
dcs:who/cpmt,dcid:country/ALB,2017,54.77042
dcs:who/cpmt,dcid:country/ALB,2008,71.13479
dcs:who/cpmt,dcid:country/ALB,2005,69.50086
dcs:who/cpmt,dcid:country/ALB,2002,75.06441
dcs:who/cpmt.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,41.81952
dcs:who/cpmt.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,45.29379
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,55.78755
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,43.22611
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,44.15322
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,68.67358
dcs:who/cpmt.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,65.54746
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,72.22468
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,73.66002
dcs:who/cpmt.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,66.79806
dcs:who/cpmt.WEALTHQUINTILE--WQ2,dcid:country/ALB,2005,55.00101
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/ALB,2005,65.48191
dcs:who/cpmt.WEALTHQUINTILE--WQ1,dcid:country/ALB,2005,60.87322
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/ALB,2005,62.06736
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/ALB,2005,57.19025
dcs:who/cpmt.WEALTHQUINTILE--WQ4,dcid:country/ALB,2002,75.4131
dcs:who/cpmt.WEALTHQUINTILE--WQ3,dcid:country/ALB,2002,74.6025
dcs:who/cpmt.WEALTHQUINTILE--WQ5,dcid:country/ALB,2002,77.51085
