SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/fps,dcid:country/AFG,2015,58.69074
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,37.0074
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,41.31977
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,50.86251
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,63.17219
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,41.71115
dcs:who/fps.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,58.47956
dcs:who/fps.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,34.95078
dcs:who/fps.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,40.13418
dcs:who/fps.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,53.14319
dcs:who/fps.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,43.34364
dcs:who/fps.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,67.77518
dcs:who/fps.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,40.69866
dcs:who/fps.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,48.21814
dcs:who/fps.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,41.95635
dcs:who/fps.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,38.96374
dcs:who/fps.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,43.25669
dcs:who/fps.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,59.00981
dcs:who/fps.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,60.19112
dcs:who/fps.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,45.74266
dcs:who/fps.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,53.47608
dcs:who/fps.AGE--Y20T49,dcid:country/AFG,2015,48.71033
dcs:who/fps.AGE--Y15T19,dcid:country/AFG,2015,27.06406
dcs:who/fps,dcid:country/AGO,2015,16.56085
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,51.47397
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,34.12765
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,7.74042
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,3.6883
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,17.77695
dcs:who/fps.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,4.4717
dcs:who/fps.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,4.18739
dcs:who/fps.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,21.09081
dcs:who/fps.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,29.85765
dcs:who/fps.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,60.52923
dcs:who/fps.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,43.35185
dcs:who/fps.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,10.75432
dcs:who/fps.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,38.49504
dcs:who/fps.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,13.83875
dcs:who/fps.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,2.75425
dcs:who/fps.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,5.80369
dcs:who/fps.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,34.0747
dcs:who/fps.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,46.31648
dcs:who/fps.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,16.15365
dcs:who/fps.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,6.7725
dcs:who/fps.AGE--Y15T19,dcid:country/AGO,2015,15.6277
dcs:who/fps.AGE--Y20T49,dcid:country/AGO,2015,27.35887
dcs:who/fps,dcid:country/ALB,2017,25.69541
dcs:who/fps,dcid:country/ALB,2008,80.78275
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,82.18997
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,71.46655
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,74.81019
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,70.82821
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,75.87206
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,85.7936
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,83.1156
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,83.14002
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,80.66818
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,89.49398
dcs:who/fps.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,74.16457
dcs:who/fps.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,72.47881
dcs:who/fps.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,70.94664
dcs:who/fps.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,72.03322
dcs:who/fps.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,68.68323
dcs:who/fps.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,87.15614
dcs:who/fps.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,72.37689
dcs:who/fps.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,77.98289
dcs:who/fps.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,76.58466
dcs:who/fps.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,77.62514
dcs:who/fps.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,80.0873
dcs:who/fps.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,89.78329
dcs:who/fps.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2008,81.84381
dcs:who/fps.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,79.55947
dcs:who/fps.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,84.3882
dcs:who/fps.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,86.7444
dcs:who/fps.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,83.95367
dcs:who/fps.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2008,89.17666
dcs:who/fps.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2008,87.66387
dcs:who/fps.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2008,81.2153
dcs:who/fps.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,75.19307
dcs:who/fps.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,75.21223
dcs:who/fps.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,88.45254
dcs:who/fps.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,81.25273
dcs:who/fps.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,77.12973
dcs:who/fps.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,73.40117
dcs:who/fps.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2017,51.98149
dcs:who/fps.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,81.48316
dcs:who/fps.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,88.09785
dcs:who/fps.AGE--Y15T19,dcid:country/ALB,2017,54.40222
dcs:who/fps.AGE--Y20T49,dcid:country/ALB,2017,75.51974
dcs:who/fps.AGE--Y20T49,dcid:country/ALB,2008,84.56601
dcs:who/fps.AGE--Y15T19,dcid:country/ALB,2008,76.75408
dcs:who/fps,dcid:country/ARG,2019,83.72334
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ARG,2019,84.86927
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/ARG,2019,83.02221
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ARG,2019,83.74483
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ARG,2019,82.15712
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/ARG,2019,84.65279
dcs:who/fps.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARG,2019,85.21334
dcs:who/fps.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARG,2019,83.95646
dcs:who/fps.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARG,2019,81.95107
dcs:who/fps.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARG,2019,84.92128
dcs:who/fps.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARG,2019,81.02818
dcs:who/fps.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARG,2019,84.54843
dcs:who/fps.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARG,2019,81.54044
dcs:who/fps.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARG,2019,82.80819
dcs:who/fps.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARG,2019,84.38256
dcs:who/fps.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARG,2019,86.6674
dcs:who/fps.EDUCATIONLEVEL--SHLM,dcid:country/ARG,2019,83.93971
dcs:who/fps.EDUCATIONLEVEL--PRLM,dcid:country/ARG,2019,83.94534
dcs:who/fps.EDUCATIONLEVEL--NHLM,dcid:country/ARG,2019,38.26087
dcs:who/fps.AGE--Y15T19,dcid:country/ARG,2019,78.45696
dcs:who/fps.AGE--Y20T49,dcid:country/ARG,2019,83.80999
dcs:who/fps,dcid:country/ARM,2015,83.6041
dcs:who/fps,dcid:country/ARM,2010,73.59129
dcs:who/fps,dcid:country/ARM,2005,83.41066
dcs:who/fps,dcid:country/ARM,2000,78.42105
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ARM,2015,80.0334
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ARM,2015,82.31559
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/ARM,2015,82.92485
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ARM,2015,82.18739
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/ARM,2015,82.54191
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ARM,2010,85.62483
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ARM,2010,78.64948
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/ARM,2010,85.76911
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/ARM,2010,71.39744
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ARM,2010,79.50943
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ARM,2005,78.5606
dcs:who/fps.WEALTHQUINTILE--WQ2,dcid:country/ARM,2005,77.0266
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ARM,2005,85.76816
dcs:who/fps.WEALTHQUINTILE--WQ4,dcid:country/ARM,2005,81.79359
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ARM,2005,76.42984
dcs:who/fps.WEALTHQUINTILE--WQ3,dcid:country/ARM,2000,85.0185
dcs:who/fps.WEALTHQUINTILE--WQ1,dcid:country/ARM,2000,84.53193
dcs:who/fps.WEALTHQUINTILE--WQ5,dcid:country/ARM,2000,83.67267
