SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/imr,dcid:country/AFG,2015,28.4635
dcs:who/imr.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,34.51818
dcs:who/imr.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,51.21589
dcs:who/imr.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,61.78297
dcs:who/imr.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,41.40769
dcs:who/imr.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,56.71095
dcs:who/imr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,69.17506
dcs:who/imr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,42.10854
dcs:who/imr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,55.46606
dcs:who/imr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,68.42341
dcs:who/imr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,33.85225
dcs:who/imr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,53.38873
dcs:who/imr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,44.03234
dcs:who/imr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,40.84825
dcs:who/imr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,49.08095
dcs:who/imr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,35.02188
dcs:who/imr.SEX--F,dcid:country/AFG,2015,46.44006
dcs:who/imr.SEX--M,dcid:country/AFG,2015,52.48452
dcs:who/imr.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,53.83516
dcs:who/imr.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,34.58301
dcs:who/imr.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,34.84709
dcs:who/imr.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,34.08307
dcs:who/imr.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,51.86561
dcs:who/imr.AGE--Y15T19,dcid:country/AFG,2015,50.94697
dcs:who/imr.AGE--Y20T49,dcid:country/AFG,2015,48.86304
dcs:who/imr,dcid:country/AGO,2015,52.20296
dcs:who/imr.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,24.58303
dcs:who/imr.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,46.89826
dcs:who/imr.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,42.75996
dcs:who/imr.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,63.77935
dcs:who/imr.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,62.44981
dcs:who/imr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,25.02274
dcs:who/imr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,42.95509
dcs:who/imr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,60.0413
dcs:who/imr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,67.45645
dcs:who/imr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,46.3345
dcs:who/imr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,42.50863
dcs:who/imr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,47.58268
dcs:who/imr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,67.78359
dcs:who/imr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,24.12877
dcs:who/imr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,56.64553
dcs:who/imr.SEX--F,dcid:country/AGO,2015,43.29645
dcs:who/imr.SEX--M,dcid:country/AGO,2015,56.95292
dcs:who/imr.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,61.47929
dcs:who/imr.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,42.95903
