SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/itnwm,dcid:country/AFG,2015,44.59804
dcs:who/itnwm.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,5.11023
dcs:who/itnwm.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,2.97348
dcs:who/itnwm.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,4.62436
dcs:who/itnwm.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,9.13031
dcs:who/itnwm.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,0.81333
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,3.08943
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,4.14154
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,10.82153
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,6.19328
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,6.22091
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,3.80504
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,2.15288
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,1.49617
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,7.32027
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,0.06169
dcs:who/itnwm.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,3.3685
dcs:who/itnwm.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,7.89077
dcs:who/itnwm.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,3.51048
dcs:who/itnwm.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,7.22653
dcs:who/itnwm.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,7.4855
dcs:who/itnwm.AGE--Y15T19,dcid:country/AFG,2015,4.59588
dcs:who/itnwm.AGE--Y20T49,dcid:country/AFG,2015,4.00943
dcs:who/itnwm,dcid:country/AGO,2015,17.0853
dcs:who/itnwm.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,33.77118
dcs:who/itnwm.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,27.36765
dcs:who/itnwm.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,15.80929
dcs:who/itnwm.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,15.02903
dcs:who/itnwm.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,18.25055
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,28.65865
dcs:who/itnwm.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,15.75905
