SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/nmr,dcid:country/AFG,2015,12.50492
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,25.55499
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,28.27348
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,32.11086
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,17.25648
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,20.10357
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,19.11926
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,21.08177
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,26.56994
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,35.04437
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,30.10203
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,24.55272
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,21.33573
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,15.80499
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,18.59521
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,34.2292
dcs:who/nmr.SEX--M,dcid:country/AFG,2015,28.44155
dcs:who/nmr.SEX--F,dcid:country/AFG,2015,21.03843
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,17.38914
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,27.00677
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,18.80837
dcs:who/nmr.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,17.84992
dcs:who/nmr.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,25.90127
dcs:who/nmr.AGE--Y20T49,dcid:country/AFG,2015,24.30547
dcs:who/nmr.AGE--Y15T19,dcid:country/AFG,2015,26.74398
dcs:who/nmr,dcid:country/AGO,2015,29.78999
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,31.10405
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,11.54496
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,29.50612
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,23.82486
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,21.36849
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,23.74399
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,28.62484
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,30.94938
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,12.38673
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,20.44714
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,19.15159
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,33.36345
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,27.6077
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,10.95515
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,28.04988
dcs:who/nmr.SEX--F,dcid:country/AGO,2015,18.75544
dcs:who/nmr.SEX--M,dcid:country/AGO,2015,30.04633
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,29.73306
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,21.03879
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,19.55123
dcs:who/nmr.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,21.3269
dcs:who/nmr.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,30.13024
dcs:who/nmr.AGE--Y20T49,dcid:country/AGO,2015,23.03358
dcs:who/nmr.AGE--Y15T19,dcid:country/AGO,2015,27.12711
dcs:who/nmr,dcid:country/ALB,2017,3.30282
dcs:who/nmr,dcid:country/ALB,2008,14.28573
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,5.21051
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,1.61621
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,2.74804
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,0.38388
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,5.97827
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,8.5814
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,9.78637
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,6.38704
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,17.06712
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,8.32939
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,0.0
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,0.0
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,3.22821
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,2.92633
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,3.97396
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,5.4663
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,9.31339
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,0.84484
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,0.0
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,6.37254
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2008,0.0
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,11.16445
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,10.87142
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,28.11711
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,5.04045
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2008,2.07819
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,17.98966
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2008,9.41371
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,7.32908
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2008,6.05442
dcs:who/nmr.SEX--M,dcid:country/ALB,2017,4.67295
dcs:who/nmr.SEX--M,dcid:country/ALB,2008,11.7847
dcs:who/nmr.SEX--F,dcid:country/ALB,2008,8.31542
dcs:who/nmr.SEX--F,dcid:country/ALB,2017,2.03239
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,2.01785
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,5.09462
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,6.96017
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,12.21145
dcs:who/nmr.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,4.09829
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,2.65286
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,6.1022
dcs:who/nmr.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,12.3844
dcs:who/nmr.AGE--Y20T49,dcid:country/ALB,2017,3.52286
dcs:who/nmr.AGE--Y15T19,dcid:country/ALB,2017,1.42804
dcs:who/nmr.AGE--Y15T19,dcid:country/ALB,2008,4.52498
dcs:who/nmr.AGE--Y20T49,dcid:country/ALB,2008,10.56539
dcs:who/nmr,dcid:country/ARM,2015,6.61866
dcs:who/nmr,dcid:country/ARM,2010,10.22842
dcs:who/nmr,dcid:country/ARM,2005,5.90948
dcs:who/nmr,dcid:country/ARM,2000,20.86137
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/ARM,2015,7.0176
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/ARM,2015,7.70317
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/ARM,2015,4.01407
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/ARM,2015,2.16002
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/ARM,2015,6.54177
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/ARM,2010,13.76877
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/ARM,2010,7.42769
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/ARM,2010,9.65759
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/ARM,2010,7.12496
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/ARM,2010,9.28825
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/ARM,2005,16.85771
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/ARM,2005,17.51759
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/ARM,2005,19.18603
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/ARM,2005,24.23976
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/ARM,2005,13.60571
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/ARM,2000,15.74097
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/ARM,2000,28.14963
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/ARM,2000,28.85875
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/ARM,2000,27.48266
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/ARM,2000,29.77238
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARM,2015,6.70893
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARM,2015,0.9998
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARM,2015,10.47255
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARM,2015,2.58575
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARM,2015,7.3199
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARM,2015,1.79936
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARM,2015,5.15884
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARM,2015,9.9701
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARM,2015,6.67428
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARM,2015,3.05777
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARM,2010,8.1131
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARM,2010,1.81448
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARM,2010,10.68892
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARM,2010,19.47584
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARM,2010,13.94778
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARM,2010,8.24288
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARM,2010,0.0
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARM,2010,13.02552
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARM,2010,4.55557
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARM,2010,14.59163
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARM,2005,7.77809
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARM,2005,15.85013
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARM,2005,28.71268
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARM,2005,15.64013
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARM,2005,20.08543
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARM,2005,6.47852
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARM,2005,11.30392
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARM,2005,19.06067
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARM,2005,27.70527
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARM,2005,30.83491
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ARM,2000,19.25414
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ARM,2000,26.11313
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ARM,2000,17.87974
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ARM,2000,33.71431
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ARM,2000,37.89965
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ARM,2000,36.10245
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ARM,2000,23.32564
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ARM,2000,17.36948
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ARM,2000,13.51848
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ARM,2000,32.41407
dcs:who/nmr.SEX--M,dcid:country/ARM,2015,4.748
dcs:who/nmr.SEX--F,dcid:country/ARM,2015,5.98068
dcs:who/nmr.SEX--M,dcid:country/ARM,2010,9.30381
dcs:who/nmr.SEX--F,dcid:country/ARM,2010,9.51704
dcs:who/nmr.SEX--F,dcid:country/ARM,2000,22.67313
dcs:who/nmr.SEX--M,dcid:country/ARM,2005,21.00062
dcs:who/nmr.SEX--F,dcid:country/ARM,2005,15.556
dcs:who/nmr.SEX--M,dcid:country/ARM,2000,29.36058
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,3.91298
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,7.29589
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/ARM,2010,8.89627
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2010,10.16274
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/ARM,2005,17.91227
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2005,19.39535
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/ARM,2000,23.14379
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2000,29.48615
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/ARM,2015,5.36755
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/ARM,2010,9.40371
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/ARM,2005,18.65386
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/ARM,2000,26.31065
dcs:who/nmr.AGE--Y20T49,dcid:country/ARM,2015,4.60523
dcs:who/nmr.AGE--Y15T19,dcid:country/ARM,2015,13.94182
dcs:who/nmr.AGE--Y20T49,dcid:country/ARM,2010,10.19376
dcs:who/nmr.AGE--Y15T19,dcid:country/ARM,2010,2.55996
dcs:who/nmr.AGE--Y15T19,dcid:country/ARM,2005,13.13909
dcs:who/nmr.AGE--Y20T49,dcid:country/ARM,2005,19.49854
dcs:who/nmr.AGE--Y15T19,dcid:country/ARM,2000,30.02929
dcs:who/nmr.AGE--Y20T49,dcid:country/ARM,2000,25.38583
dcs:who/nmr,dcid:country/AZE,2006,27.0664
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/AZE,2006,29.65242
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/AZE,2006,34.92079
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/AZE,2006,19.30259
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/AZE,2006,32.17797
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/AZE,2006,29.17333
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AZE,2006,24.58987
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AZE,2006,11.61401
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AZE,2006,21.58697
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AZE,2006,17.01176
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AZE,2006,34.70518
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AZE,2006,40.29276
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AZE,2006,19.49719
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AZE,2006,53.47462
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AZE,2006,31.06386
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AZE,2006,38.75027
dcs:who/nmr.SEX--F,dcid:country/AZE,2006,18.53069
dcs:who/nmr.SEX--M,dcid:country/AZE,2006,37.01265
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2006,22.8894
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/AZE,2006,34.23908
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/AZE,2006,29.1566
dcs:who/nmr.AGE--Y20T49,dcid:country/AZE,2006,28.19668
dcs:who/nmr.AGE--Y15T19,dcid:country/AZE,2006,31.23651
dcs:who/nmr,dcid:country/BDI,2016,18.39891
dcs:who/nmr,dcid:country/BDI,2010,44.17121
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/BDI,2016,18.46341
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/BDI,2016,33.79933
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/BDI,2016,24.92225
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/BDI,2016,20.98021
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/BDI,2016,25.3471
dcs:who/nmr.WEALTHQUINTILE--WQ3,dcid:country/BDI,2010,38.26903
dcs:who/nmr.WEALTHQUINTILE--WQ2,dcid:country/BDI,2010,35.6852
dcs:who/nmr.WEALTHQUINTILE--WQ1,dcid:country/BDI,2010,37.12038
dcs:who/nmr.WEALTHQUINTILE--WQ5,dcid:country/BDI,2010,29.55445
dcs:who/nmr.WEALTHQUINTILE--WQ4,dcid:country/BDI,2010,41.9622
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2016,19.76063
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2016,26.6258
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2016,26.16612
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2016,36.51281
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2016,25.83425
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2016,24.08761
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2016,17.21295
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2016,30.955
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2016,23.60147
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2016,16.79015
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE02,dcid:country/BDI,2010,28.58291
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE06,dcid:country/BDI,2010,41.73933
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE01,dcid:country/BDI,2010,45.47857
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE04,dcid:country/BDI,2010,40.22076
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE03,dcid:country/BDI,2010,30.89906
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE05,dcid:country/BDI,2010,34.94213
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE08,dcid:country/BDI,2010,42.97869
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE07,dcid:country/BDI,2010,40.91184
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE09,dcid:country/BDI,2010,36.56659
dcs:who/nmr.WEALTHDECILE--WEALTHDECILE10,dcid:country/BDI,2010,20.80494
dcs:who/nmr.SEX--F,dcid:country/BDI,2016,23.22135
dcs:who/nmr.SEX--M,dcid:country/BDI,2016,26.70976
dcs:who/nmr.SEX--F,dcid:country/BDI,2010,31.72096
dcs:who/nmr.SEX--M,dcid:country/BDI,2010,41.57867
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2016,24.92219
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/BDI,2016,25.62204
dcs:who/nmr.RESIDENCEAREATYPE--URB,dcid:country/BDI,2010,22.38259
dcs:who/nmr.RESIDENCEAREATYPE--RUR,dcid:country/BDI,2010,37.90512
dcs:who/nmr.EDUCATIONLEVEL--SHLM,dcid:country/BDI,2016,23.33701
dcs:who/nmr.EDUCATIONLEVEL--NHLM,dcid:country/BDI,2016,26.79075
dcs:who/nmr.EDUCATIONLEVEL--PRLM,dcid:country/BDI,2016,23.07215
dcs:who/nmr.EDUCATIONLEVEL--NHLM,dcid:country/BDI,2010,39.63605
