SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/ors,dcid:country/AFG,2015,19.39726
dcs:who/ors,dcid:country/AFG,2010,36.53855
dcs:who/ors.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,45.03853
dcs:who/ors.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,48.34986
dcs:who/ors.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,50.0944
dcs:who/ors.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,45.33245
dcs:who/ors.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,42.07187
dcs:who/ors.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,52.43773
dcs:who/ors.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,55.5964
dcs:who/ors.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,51.59029
dcs:who/ors.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,55.56152
dcs:who/ors.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,50.84902
dcs:who/ors.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,41.63995
dcs:who/ors.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,45.25737
dcs:who/ors.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,48.63488
dcs:who/ors.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,39.49065
dcs:who/ors.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,48.4553
dcs:who/ors.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,45.40922
dcs:who/ors.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,51.63419
dcs:who/ors.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,45.21076
dcs:who/ors.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,50.27219
dcs:who/ors.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,46.16872
dcs:who/ors.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,48.6759
dcs:who/ors.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,55.69699
dcs:who/ors.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,52.22089
dcs:who/ors.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2010,50.48109
dcs:who/ors.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2010,53.98462
dcs:who/ors.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,50.02505
dcs:who/ors.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2010,58.29142
dcs:who/ors.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2010,49.3464
dcs:who/ors.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2010,60.80128
dcs:who/ors.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2010,52.7598
dcs:who/ors.SEX--F,dcid:country/AFG,2015,46.3722
dcs:who/ors.SEX--M,dcid:country/AFG,2015,46.09731
dcs:who/ors.SEX--F,dcid:country/AFG,2010,51.33939
dcs:who/ors.SEX--M,dcid:country/AFG,2010,55.14252
dcs:who/ors.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,47.11829
dcs:who/ors.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,43.6813
dcs:who/ors.RESIDENCEAREATYPE--URB,dcid:country/AFG,2010,48.17934
dcs:who/ors.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2010,54.19429
dcs:who/ors.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,54.15058
dcs:who/ors.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,45.35795
dcs:who/ors.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,46.3233
dcs:who/ors.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2010,55.46528
dcs:who/ors.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2010,44.52593
dcs:who/ors.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2010,53.6628
dcs:who/ors.AGE--Y20T49,dcid:country/AFG,2015,46.51868
dcs:who/ors.AGE--Y15T19,dcid:country/AFG,2015,38.37225
dcs:who/ors,dcid:country/AGO,2015,60.73167
