SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,4.1999
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,3.66945
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,2.64943
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,2.545
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,4.51461
dcs:who/overwgt5.SEX--M,dcid:country/AGO,2015,3.14795
dcs:who/overwgt5.SEX--F,dcid:country/AGO,2015,3.59802
dcs:who/overwgt5.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,3.9634
dcs:who/overwgt5.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,2.55089
dcs:who/overwgt5.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,3.08472
dcs:who/overwgt5.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,3.2649
dcs:who/overwgt5.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,4.29255
dcs:who/overwgt5.AGE--Y2T05,dcid:country/AGO,2015,2.3753
dcs:who/overwgt5.AGE--Y0T01,dcid:country/AGO,2015,4.75116
dcs:who/overwgt5,dcid:country/ALB,2017,13.68258
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,17.41031
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,16.7549
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,14.67847
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,16.45423
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,17.17572
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,24.19956
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,17.79193
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,20.02277
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,23.09958
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,30.44724
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2005,24.93264
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ALB,2005,27.74199
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ALB,2005,25.07438
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ALB,2005,20.33545
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ALB,2005,26.43833
dcs:who/overwgt5.SEX--M,dcid:country/ALB,2017,17.37633
dcs:who/overwgt5.SEX--F,dcid:country/ALB,2017,15.38124
dcs:who/overwgt5.SEX--F,dcid:country/ALB,2008,23.26254
dcs:who/overwgt5.SEX--M,dcid:country/ALB,2008,23.20768
dcs:who/overwgt5.SEX--F,dcid:country/ALB,2005,25.18232
dcs:who/overwgt5.SEX--M,dcid:country/ALB,2005,24.54945
dcs:who/overwgt5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2017,17.35536
dcs:who/overwgt5.RESIDENCEAREATYPE--URB,dcid:country/ALB,2017,15.5676
dcs:who/overwgt5.RESIDENCEAREATYPE--URB,dcid:country/ALB,2008,23.55955
dcs:who/overwgt5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,23.01408
dcs:who/overwgt5.RESIDENCEAREATYPE--URB,dcid:country/ALB,2005,30.01839
dcs:who/overwgt5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2005,21.99941
dcs:who/overwgt5.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2017,17.25694
dcs:who/overwgt5.EDUCATIONLEVEL--NHLM,dcid:country/ALB,2017,5.15608
dcs:who/overwgt5.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2017,16.02904
dcs:who/overwgt5.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2008,22.72427
dcs:who/overwgt5.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,23.05617
dcs:who/overwgt5.EDUCATIONLEVEL--SHLM,dcid:country/ALB,2005,25.0835
dcs:who/overwgt5.AGE--Y0T01,dcid:country/ALB,2017,19.68767
dcs:who/overwgt5.AGE--Y2T05,dcid:country/ALB,2017,14.1995
dcs:who/overwgt5.AGE--Y2T05,dcid:country/ALB,2008,22.56105
dcs:who/overwgt5.AGE--Y0T01,dcid:country/ALB,2008,24.49787
dcs:who/overwgt5.AGE--Y2T05,dcid:country/ALB,2005,26.25842
dcs:who/overwgt5.AGE--Y0T01,dcid:country/ALB,2005,22.18243
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ARM,2015,8.5118
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ARM,2015,16.7677
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ARM,2015,16.33956
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ARM,2015,12.54085
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ARM,2015,15.06133
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ARM,2010,16.88321
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ARM,2010,17.46868
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ARM,2010,16.10427
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ARM,2010,18.04555
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ARM,2010,13.58473
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ARM,2005,11.61635
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ARM,2005,14.03
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ARM,2005,7.1163
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ARM,2005,10.96633
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ARM,2005,12.95684
dcs:who/overwgt5.WEALTHQUINTILE--WQ3,dcid:country/ARM,2000,18.22372
dcs:who/overwgt5.WEALTHQUINTILE--WQ5,dcid:country/ARM,2000,16.61716
dcs:who/overwgt5.WEALTHQUINTILE--WQ2,dcid:country/ARM,2000,13.0677
dcs:who/overwgt5.WEALTHQUINTILE--WQ1,dcid:country/ARM,2000,15.56323
dcs:who/overwgt5.WEALTHQUINTILE--WQ4,dcid:country/ARM,2000,15.8792
dcs:who/overwgt5.SEX--F,dcid:country/ARM,2015,12.69147
dcs:who/overwgt5.SEX--M,dcid:country/ARM,2015,14.56456
dcs:who/overwgt5.SEX--F,dcid:country/ARM,2005,9.04857
dcs:who/overwgt5.SEX--F,dcid:country/ARM,2010,14.41121
dcs:who/overwgt5.SEX--M,dcid:country/ARM,2010,18.31889
dcs:who/overwgt5.SEX--M,dcid:country/ARM,2005,13.27465
dcs:who/overwgt5.SEX--F,dcid:country/ARM,2000,10.73444
dcs:who/overwgt5.SEX--M,dcid:country/ARM,2000,19.36786
dcs:who/overwgt5.RESIDENCEAREATYPE--RUR,dcid:country/ARM,2015,16.50437
dcs:who/overwgt5.RESIDENCEAREATYPE--URB,dcid:country/ARM,2015,11.48865
