SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/pnchome5.EDUCATIONLEVEL--PRLM,dcid:country/ALB,2008,30.05
dcs:who/pnchome5.RESIDENCEAREATYPE--RUR,dcid:country/ALB,2008,30.05
dcs:who/pnchome5.SEX--M,dcid:country/ALB,2008,38.55
dcs:who/pnchome5.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,37.17
dcs:who/pnchome5.EDUCATIONLEVEL--SHLM,dcid:country/AZE,2006,11.32
dcs:who/pnchome5.SEX--M,dcid:country/AZE,2006,14.96
dcs:who/pnchome5.RESIDENCEAREATYPE--RUR,dcid:country/AZE,2006,7.21
dcs:who/pnchome5.RESIDENCEAREATYPE--URB,dcid:country/AZE,2006,22.96
dcs:who/pnchome5.WEALTHQUINTILE--WQ3,dcid:country/AZE,2006,17.7
dcs:who/pnchome5.WEALTHQUINTILE--WQ1,dcid:country/AZE,2006,8.02
dcs:who/pnchome5.SEX--F,dcid:country/AZE,2006,5.03
dcs:who/pnchome5.WEALTHQUINTILE--WQ2,dcid:country/AZE,2006,4.36
dcs:who/pnchome5.WEALTHQUINTILE--WQ3,dcid:country/BGD,2007,8.73
dcs:who/pnchome5.WEALTHQUINTILE--WQ5,dcid:country/BGD,2007,10.49
dcs:who/pnchome5.EDUCATIONLEVEL--PRLM,dcid:country/BGD,2007,6.31
dcs:who/pnchome5.WEALTHQUINTILE--WQ2,dcid:country/BGD,2007,6.59
dcs:who/pnchome5.EDUCATIONLEVEL--SHLM,dcid:country/BGD,2007,12.52
dcs:who/pnchome5.RESIDENCEAREATYPE--RUR,dcid:country/BGD,2007,8.22
dcs:who/pnchome5.WEALTHQUINTILE--WQ4,dcid:country/BGD,2007,14.23
dcs:who/pnchome5.RESIDENCEAREATYPE--URB,dcid:country/BGD,2007,8.62
dcs:who/pnchome5.WEALTHQUINTILE--WQ1,dcid:country/BGD,2007,4.01
dcs:who/pnchome5.SEX--M,dcid:country/BGD,2007,9.24
dcs:who/pnchome5.EDUCATIONLEVEL--NHLM,dcid:country/BGD,2007,5.55
dcs:who/pnchome5.SEX--F,dcid:country/BGD,2007,7.36
dcs:who/pnchome5.RESIDENCEAREATYPE--RUR,dcid:country/BOL,2008,21.2
dcs:who/pnchome5.EDUCATIONLEVEL--PRLM,dcid:country/BOL,2008,20.48
dcs:who/pnchome5.SEX--F,dcid:country/BOL,2008,19.72
dcs:who/pnchome5.SEX--M,dcid:country/BOL,2008,22.17
dcs:who/pnchome5.EDUCATIONLEVEL--NHLM,dcid:country/BOL,2008,18.42
dcs:who/pnchome5.WEALTHQUINTILE--WQ2,dcid:country/BOL,2008,23.68
