SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/u5mr,dcid:country/AFG,2015,84.13444
dcs:who/u5mr.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,50.55283
dcs:who/u5mr.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,80.51193
dcs:who/u5mr.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,39.93514
dcs:who/u5mr.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,64.34419
dcs:who/u5mr.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,71.38264
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,69.90347
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,64.78968
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,52.38375
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,83.52554
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,39.46844
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,91.59273
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,59.01837
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,40.30347
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,48.86397
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,63.86983
dcs:who/u5mr.SEX--M,dcid:country/AFG,2015,65.8255
dcs:who/u5mr.SEX--F,dcid:country/AFG,2015,57.95432
dcs:who/u5mr.RESIDENCEAREATYPE--URB,dcid:country/AFG,2015,43.04581
dcs:who/u5mr.RESIDENCEAREATYPE--RUR,dcid:country/AFG,2015,67.43214
dcs:who/u5mr.EDUCATIONLEVEL--PRLM,dcid:country/AFG,2015,46.38042
dcs:who/u5mr.EDUCATIONLEVEL--SHLM,dcid:country/AFG,2015,39.79873
dcs:who/u5mr.EDUCATIONLEVEL--NHLM,dcid:country/AFG,2015,64.78207
dcs:who/u5mr.AGE--Y20T49,dcid:country/AFG,2015,61.98277
dcs:who/u5mr.AGE--Y15T19,dcid:country/AFG,2015,60.37708
dcs:who/u5mr,dcid:country/AGO,2015,46.33671
dcs:who/u5mr.WEALTHQUINTILE--WQ1,dcid:country/AGO,2015,102.17238
dcs:who/u5mr.WEALTHQUINTILE--WQ3,dcid:country/AGO,2015,72.96556
dcs:who/u5mr.WEALTHQUINTILE--WQ5,dcid:country/AGO,2015,38.82635
dcs:who/u5mr.WEALTHQUINTILE--WQ4,dcid:country/AGO,2015,65.74279
dcs:who/u5mr.WEALTHQUINTILE--WQ2,dcid:country/AGO,2015,103.15839
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE08,dcid:country/AGO,2015,62.79361
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE07,dcid:country/AGO,2015,68.26453
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE09,dcid:country/AGO,2015,41.43618
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE02,dcid:country/AGO,2015,112.60781
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE03,dcid:country/AGO,2015,98.6249
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE06,dcid:country/AGO,2015,70.01408
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE04,dcid:country/AGO,2015,107.56241
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE01,dcid:country/AGO,2015,90.98063
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE10,dcid:country/AGO,2015,35.63504
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE05,dcid:country/AGO,2015,76.00005
dcs:who/u5mr.SEX--F,dcid:country/AGO,2015,72.54846
dcs:who/u5mr.SEX--M,dcid:country/AGO,2015,86.83428
dcs:who/u5mr.RESIDENCEAREATYPE--URB,dcid:country/AGO,2015,68.32261
dcs:who/u5mr.RESIDENCEAREATYPE--RUR,dcid:country/AGO,2015,97.89275
dcs:who/u5mr.EDUCATIONLEVEL--PRLM,dcid:country/AGO,2015,97.81233
dcs:who/u5mr.EDUCATIONLEVEL--NHLM,dcid:country/AGO,2015,80.11664
dcs:who/u5mr.EDUCATIONLEVEL--SHLM,dcid:country/AGO,2015,51.54875
dcs:who/u5mr.AGE--Y20T49,dcid:country/AGO,2015,76.49576
dcs:who/u5mr.AGE--Y15T19,dcid:country/AGO,2015,86.98524
dcs:who/u5mr,dcid:country/ALB,2017,5.51923
dcs:who/u5mr,dcid:country/ALB,2008,42.18522
dcs:who/u5mr.WEALTHQUINTILE--WQ4,dcid:country/ALB,2017,2.74804
dcs:who/u5mr.WEALTHQUINTILE--WQ5,dcid:country/ALB,2017,0.38388
dcs:who/u5mr.WEALTHQUINTILE--WQ1,dcid:country/ALB,2017,14.32
dcs:who/u5mr.WEALTHQUINTILE--WQ3,dcid:country/ALB,2017,2.15656
dcs:who/u5mr.WEALTHQUINTILE--WQ2,dcid:country/ALB,2017,7.00182
dcs:who/u5mr.WEALTHQUINTILE--WQ5,dcid:country/ALB,2008,13.15353
dcs:who/u5mr.WEALTHQUINTILE--WQ1,dcid:country/ALB,2008,34.40722
dcs:who/u5mr.WEALTHQUINTILE--WQ4,dcid:country/ALB,2008,20.41802
dcs:who/u5mr.WEALTHQUINTILE--WQ2,dcid:country/ALB,2008,13.11457
dcs:who/u5mr.WEALTHQUINTILE--WQ3,dcid:country/ALB,2008,24.44589
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2017,10.5936
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2017,16.88848
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2017,0.0
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2017,4.2811
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE02,dcid:country/ALB,2017,11.56668
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2017,0.0
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2017,5.4663
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE10,dcid:country/ALB,2017,0.84484
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE08,dcid:country/ALB,2017,0.0
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE03,dcid:country/ALB,2017,3.71342
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE05,dcid:country/ALB,2008,39.48876
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE07,dcid:country/ALB,2008,34.88668
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE06,dcid:country/ALB,2008,8.27494
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE04,dcid:country/ALB,2008,14.39161
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE09,dcid:country/ALB,2008,19.51638
dcs:who/u5mr.WEALTHDECILE--WEALTHDECILE01,dcid:country/ALB,2008,34.25606
