SERIES,GEOGRAPHY,TIME_PERIOD,OBS_VALUE
dcs:who/vdpt,dcid:country/AFG,2015,73.12511
dcs:who/vdpt,dcid:country/AFG,2010,50.23276
dcs:who/vdpt.WEALTHQUINTILE--WQ2,dcid:country/AFG,2015,52.06906
dcs:who/vdpt.WEALTHQUINTILE--WQ5,dcid:country/AFG,2015,70.35409
dcs:who/vdpt.WEALTHQUINTILE--WQ1,dcid:country/AFG,2015,48.89169
dcs:who/vdpt.WEALTHQUINTILE--WQ4,dcid:country/AFG,2015,64.72394
dcs:who/vdpt.WEALTHQUINTILE--WQ3,dcid:country/AFG,2015,54.39699
dcs:who/vdpt.WEALTHQUINTILE--WQ3,dcid:country/AFG,2010,34.91936
dcs:who/vdpt.WEALTHQUINTILE--WQ2,dcid:country/AFG,2010,37.59087
dcs:who/vdpt.WEALTHQUINTILE--WQ1,dcid:country/AFG,2010,27.38262
dcs:who/vdpt.WEALTHQUINTILE--WQ4,dcid:country/AFG,2010,40.93035
dcs:who/vdpt.WEALTHQUINTILE--WQ5,dcid:country/AFG,2010,53.03766
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE09,dcid:country/AFG,2015,71.0124
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2015,51.47073
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE10,dcid:country/AFG,2015,69.58804
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2015,53.18926
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2015,57.14394
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2015,51.03605
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE07,dcid:country/AFG,2015,59.28581
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE08,dcid:country/AFG,2015,69.21461
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE02,dcid:country/AFG,2015,51.22284
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE01,dcid:country/AFG,2015,46.34229
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE03,dcid:country/AFG,2010,35.55596
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE06,dcid:country/AFG,2010,38.67274
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE05,dcid:country/AFG,2010,30.9605
dcs:who/vdpt.WEALTHDECILE--WEALTHDECILE04,dcid:country/AFG,2010,39.84281
